cell_type	replicate	cell	vae_2	nmf_6	cell_class
EOS2	4	EOS2_4	18.98607401320375	230.42512017624043	Eosinophil
EOS2	5	EOS2_5	21.47938765672885	253.13100825262794	Eosinophil
ERY1	3	ERY1_3	14.909062065790103	247.94120016487477	Erythroid
ERY1	4	ERY1_4	7.746289680828078	167.79818624687877	Erythroid
ERY1	5	ERY1_5	14.154216299204537	230.2681471906116	Erythroid
ERY1	6	ERY1_6	14.376629416265194	210.43837934913563	Erythroid
ERY1	7	ERY1_7	13.775746939014757	229.1581560633967	Erythroid
ERY1	8	ERY1_8	13.286946189620336	227.64776339354896	Erythroid
ERY1	9	ERY1_9	16.714543830401137	272.3545024546546	Erythroid
ERY2	3	ERY2_3	4.850752729923038	185.20805082859343	Erythroid
ERY2	4	ERY2_4	20.821276086819875	264.4764590307118	Erythroid
ERY2	5	ERY2_5	15.247418983800587	231.56268929932548	Erythroid
ERY2	6	ERY2_6	23.932471418063315	282.0129455073484	Erythroid
ERY2	7	ERY2_7	19.365389065074723	262.47132251322154	Erythroid
ERY2	8	ERY2_8	16.58341932953567	263.43200474604527	Erythroid
ERY2	9	ERY2_9	12.042024823558949	240.33924468898311	Erythroid
ERY3	3	ERY3_3	7.8873892323928905	253.18034194666296	Erythroid
ERY3	4	ERY3_4	4.838395815246154	166.6671626302954	Erythroid
ERY3	5	ERY3_5	4.3429386323877255	216.7715430115516	Erythroid
ERY3	6	ERY3_6	5.494083114709534	159.6370503476827	Erythroid
ERY3	7	ERY3_7	4.408619505301821	215.1615361494028	Erythroid
ERY3	8	ERY3_8	7.421366237477754	225.09685329131275	Erythroid
ERY4	3	ERY4_3	2.75898308375267	174.18399156628848	Erythroid
ERY4	4	ERY4_4	4.970970572110109	196.15501078086882	Erythroid
ERY4	5	ERY4_5	4.599980479855304	154.79804369851422	Erythroid
ERY4	6	ERY4_6	7.063361159209544	216.44755328211463	Erythroid
ERY4	7	ERY4_7	11.837397064285444	209.45249354691026	Erythroid
