entrez_gene_id	gene_symbol	signature	in_external_dataset
22918	CD93	Monocyte_FANTOM_2	Yes
6036	RNASE2	Monocyte_FANTOM_2	Yes
10645	CAMKK2	Monocyte_FANTOM_2	Yes
1432	MAPK14	Monocyte_FANTOM_2	Yes
920	CD4	Monocyte_FANTOM_2	Yes
84376	HOOK3	Monocyte_FANTOM_2	Yes
56729	RETN	Monocyte_FANTOM_2	Yes
1436	CSF1R	Monocyte_FANTOM_2	Yes
6556	SLC11A1	Monocyte_FANTOM_2	Yes
1441	CSF3R	Monocyte_FANTOM_2	Yes
26017	FAM32A	Monocyte_FANTOM_2	Yes
64419	MTMR14	Monocyte_FANTOM_2	Yes
51108	METTL9	Monocyte_FANTOM_2	Yes
64422	ATG3	Monocyte_FANTOM_2	Yes
29099	COMMD9	Monocyte_FANTOM_2	Yes
9647	PPM1F	Monocyte_FANTOM_2	Yes
433	ASGR2	Monocyte_FANTOM_2	Yes
945	CD33	Monocyte_FANTOM_2	Yes
23478	SEC11A	Monocyte_FANTOM_2	Yes
51643	TMBIM4	Monocyte_FANTOM_2	Yes
4542	MYO1F	Monocyte_FANTOM_2	Yes
54210	TREM1	Monocyte_FANTOM_2	Yes
5578	PRKCA	Monocyte_FANTOM_2	Yes
11214	AKAP13	Monocyte_FANTOM_2	Yes
1488	CTBP2	Monocyte_FANTOM_2	Yes
7123	CLEC3B	Monocyte_FANTOM_2	No
3030	HADHA	Monocyte_FANTOM_2	Yes
4055	LTBR	Monocyte_FANTOM_2	Yes
4066	LYL1	Monocyte_FANTOM_2	Yes
23527	ACAP2	Monocyte_FANTOM_2	Yes
8685	MARCO	Monocyte_FANTOM_2	No
3055	HCK	Monocyte_FANTOM_2	Yes
1524	CX3CR1	Monocyte_FANTOM_2	Yes
55285	RBM41	Monocyte_FANTOM_2	Yes
253943	YTHDF3	Monocyte_FANTOM_2	Yes
55288	RHOT1	Monocyte_FANTOM_2	Yes
3579	CXCR2	Monocyte_FANTOM_2	Yes
7165	TPD52L2	Monocyte_FANTOM_2	Yes
