algorithm	feature_num	z_dim	seed	t_stat	t_p	neg_log_p	z	variable	model_type	value	z_score	feature	abs_z_score
nmf	0	2	908341	1.5513930886165164	0.12232043848801712	0.9125009707564223	2	Monocytes_FANTOM_2	real	35.4229	1.5985	0	1.5985
pca	1	2	486191	-4.850331403424996	2.4054380094535912e-06	5.618805830820921	2	Monocytes_FANTOM_2	real	-0.358484	-4.50108	1	4.50108
vae	0	2	978124	1.2945034198546495	0.19691999067719887	0.7057101934601249	2	Monocytes_FANTOM_2	real	-2.80769	-1.46754	0	1.46754
dae	15	30	908341	7.826944600015817	2.4592298697455753e-13	12.60920087488219	30	Monocytes_FANTOM_2	real	7.74154	13.1261	15	13.1261
ica	21	30	165158	7.785685991217569	3.1681551007825916e-13	12.499193565161724	30	Monocytes_FANTOM_2	real	0.017734200000000002	13.0831	21	13.0831
nmf	6	30	165158	5.318791455369086	2.677786597604732e-07	6.572224036426165	30	Monocytes_FANTOM_2	real	35.1545	18.6906	6	18.6906
pca	6	30	165158	5.452229907600143	1.3960445499232037e-07	6.8551007224885705	30	Monocytes_FANTOM_2	real	1.60207	19.9593	6	19.9593
vae	28	30	486191	4.296827834861371	2.6547035151343003e-05	4.575983975121538	30	Monocytes_FANTOM_2	real	4.15545	16.2772	28	16.2772
dae	27	40	978124	4.071814493414574	6.618146032445689e-05	4.1792636541623205	40	Monocytes_FANTOM_2	real	2.61064	12.905999999999999	27	12.905999999999999
ica	29	40	165158	-7.985896855487444	9.208878808449557e-14	13.035793242435538	40	Monocytes_FANTOM_2	real	-0.0210931	-11.2356	29	11.2356
nmf	6	40	486191	5.353709894512632	2.2606070806342636e-07	6.64577491644338	40	Monocytes_FANTOM_2	real	38.3103	18.7923	6	18.7923
pca	6	40	978124	5.45222990785841	1.3960445481480902e-07	6.855100723040789	40	Monocytes_FANTOM_2	real	1.60207	19.9593	6	19.9593
vae	23	40	165158	4.659363733239502	5.642928272726022e-06	5.248495470013012	40	Monocytes_FANTOM_2	real	2.44615	16.1939	23	16.1939
dae	39	100	908341	6.6095763383661	3.151962952432535e-10	9.501418895766452	100	Monocytes_FANTOM_2	real	3.6613800000000003	13.2493	39	13.2493
ica	47	100	486191	7.243413511044062	8.269532560005628e-12	11.082519038494322	100	Monocytes_FANTOM_2	real	0.029188599999999995	11.0614	47	11.0614
nmf	6	100	908341	4.560592827976551	8.68420234742124e-06	5.061270065762913	100	Monocytes_FANTOM_2	real	25.5537	25.3486	6	25.3486
pca	6	100	978124	5.452229907859872	1.3960445481380415e-07	6.855100723043916	100	Monocytes_FANTOM_2	real	1.60207	19.9593	6	19.9593
vae	95	100	451283	1.9014556070922148	0.05861790474813438	1.2319697091419723	100	Monocytes_FANTOM_2	real	0.8419049999999999	13.097999999999999	95	13.097999999999999
dae	59	60	165158	7.385835670346105	3.5548684114996633e-12	11.449176470663406	60	Monocytes_FANTOM_2	real	8.484010000000001	9.28215	59	9.28215
ica	36	60	978124	-7.7770382474204816	3.3406080224886457e-13	12.47617448026046	60	Monocytes_FANTOM_2	real	-0.0194925	-10.8634	36	10.8634
nmf	6	60	978124	5.349123290536373	2.3115609465516204e-07	6.636094651478714	60	Monocytes_FANTOM_2	real	39.8694	18.8932	6	18.8932
pca	6	60	978124	5.452229907859917	1.3960445481377318e-07	6.855100723044012	60	Monocytes_FANTOM_2	real	1.60207	19.9593	6	19.9593
vae	29	60	486191	-3.504666018676788	0.0005592560155487773	3.2523893357863813	60	Monocytes_FANTOM_2	real	-3.88349	-14.5251	29	14.5251
dae	2	7	486191	4.376227231505073	1.9063694766545493e-05	4.719792924200533	7	Monocytes_FANTOM_2	real	7.380889999999999	10.1248	2	10.1248
ica	2	7	978124	-5.580876696866771	7.372186658343158e-08	7.132403677296944	7	Monocytes_FANTOM_2	real	-0.0111279	-21.5685	2	21.5685
nmf	6	7	486191	3.6550759582794257	0.0003252322392893031	3.487806410644186	7	Monocytes_FANTOM_2	real	34.2139	18.0858	6	18.0858
pca	6	7	451283	5.452156812015661	1.3965470339351364e-07	6.854944433228628	7	Monocytes_FANTOM_2	real	1.60206	19.9605	6	19.9605
vae	3	7	165158	1.6341952403245195	0.1037232291391947	0.9841239711207402	7	Monocytes_FANTOM_2	real	6.11523	13.6887	3	13.6887
dae	2	4	451283	-2.357453763799376	0.019324570046712963	1.7138901599409317	4	Monocytes_FANTOM_2	real	-140.05100000000002	-5.01273	2	5.01273
ica	2	4	908341	0.4305823792315883	0.6672157579710825	0.17573370529736793	4	Monocytes_FANTOM_2	real	0.00358705	7.8314699999999995	2	7.8314699999999995
nmf	2	4	165158	1.5492313653413126	0.12283901106364377	0.9106636885765045	4	Monocytes_FANTOM_2	real	18.4999	2.3500099999999997	2	2.3500099999999997
pca	3	4	486191	-1.1958683106988064	0.23310295312411933	0.632452224474338	4	Monocytes_FANTOM_2	real	-0.9219709999999999	-8.58934	3	8.58934
vae	1	4	978124	1.0277227199678258	0.30526821793574344	0.5153184085857863	4	Monocytes_FANTOM_2	real	3.68181	9.59607	1	9.59607
dae	0	3	978124	-2.436163564791201	0.015681518447897152	1.8046118867016965	3	Monocytes_FANTOM_2	real	-90.9761	-5.79974	0	5.79974
ica	2	3	165158	-5.020436757012737	1.1022335955414584e-06	5.957726356025195	3	Monocytes_FANTOM_2	real	-0.00125318	-4.48257	2	4.48257
nmf	2	3	451283	1.5464897711058008	0.12349917402287833	0.9083359470076005	3	Monocytes_FANTOM_2	real	18.5602	1.9779099999999998	2	1.9779099999999998
pca	1	3	908341	-4.850331355800124	2.4054385284456993e-06	5.6188057371184925	3	Monocytes_FANTOM_2	real	-0.358484	-4.50108	1	4.50108
vae	2	3	165158	7.0904250935743764	2.0268991102460546e-11	10.693167867959126	3	Monocytes_FANTOM_2	real	7.885619999999999	9.186	2	9.186
dae	10	14	486191	4.41638889073402	1.6095934172977073e-05	4.793283812740672	14	Monocytes_FANTOM_2	real	7.010560000000001	7.530469999999999	10	7.530469999999999
ica	3	14	165158	6.408125666831716	9.608462483056277e-10	9.017346101254047	14	Monocytes_FANTOM_2	real	0.0148142	17.0005	3	17.0005
nmf	6	14	451283	4.370331024646147	1.9541330097612918e-05	4.709045878979888	14	Monocytes_FANTOM_2	real	33.6809	20.0986	6	20.0986
pca	6	14	451283	5.452231160735436	1.39603593697902e-07	6.855103401891367	14	Monocytes_FANTOM_2	real	1.60207	19.9593	6	19.9593
vae	4	14	486191	4.761628679357853	3.5855280546888006e-06	5.445446875045161	14	Monocytes_FANTOM_2	real	4.05924	14.742	4	14.742
dae	26	50	486191	4.063729687675425	6.834229732932315e-05	4.165310426463817	50	Monocytes_FANTOM_2	real	2.93828	11.9686	26	11.9686
ica	28	50	978124	7.645726724299951	7.442285708196802e-13	12.128293661496487	50	Monocytes_FANTOM_2	real	0.0206512	12.0544	28	12.0544
nmf	6	50	486191	5.350738703638583	2.293488662220208e-07	6.6395034024460475	50	Monocytes_FANTOM_2	real	39.3721	18.9824	6	18.9824
pca	6	50	908341	5.452229907859491	1.3960445481406626e-07	6.8551007230431	50	Monocytes_FANTOM_2	real	1.60207	19.9593	6	19.9593
vae	36	50	451283	5.093345848805914	7.842260880299889e-07	6.105558714574685	50	Monocytes_FANTOM_2	real	2.63605	16.375	36	16.375
dae	7	18	908341	6.464850233449035	7.035447459042431e-10	9.152708275938808	18	Monocytes_FANTOM_2	real	7.92328	8.35196	7	8.35196
ica	2	18	978124	7.11732241733197	1.732701075064986e-11	10.761276355143849	18	Monocytes_FANTOM_2	real	0.016363299999999997	16.5968	2	16.5968
nmf	6	18	165158	4.629254746414656	6.440081112442847e-06	5.191108662692284	18	Monocytes_FANTOM_2	real	36.6145	20.6151	6	20.6151
pca	6	18	165158	5.4522300275688425	1.396043725362176e-07	6.855100979000736	18	Monocytes_FANTOM_2	real	1.60207	19.9593	6	19.9593
vae	17	18	486191	-2.968190649761718	0.003345105939121861	2.475590123621872	18	Monocytes_FANTOM_2	real	-6.32964	-15.1302	17	15.1302
dae	6	10	451283	5.587613462838918	7.127752042378935e-08	7.147047416785384	10	Monocytes_FANTOM_2	real	6.10444	8.10256	6	8.10256
ica	0	10	908341	-5.966279380474449	1.0250851335265923e-08	7.989240064866302	10	Monocytes_FANTOM_2	real	-0.0130898	-22.2053	0	22.2053
nmf	6	10	978124	3.8233485796393123	0.00017372522596504196	3.76013711475971	10	Monocytes_FANTOM_2	real	33.9843	18.8789	6	18.8789
pca	6	10	486191	5.452254555319975	1.395875152790438e-07	6.855153423316628	10	Monocytes_FANTOM_2	real	1.60207	19.9594	6	19.9594
vae	2	10	908341	1.89961891809866	0.058860058534452635	1.2301793103441696	10	Monocytes_FANTOM_2	real	4.776330000000001	13.7182	2	13.7182
dae	27	35	165158	7.534635369620633	1.4573142909780047e-12	11.8364467762205	35	Monocytes_FANTOM_2	real	4.71119	16.4321	27	16.4321
ica	9	35	908341	8.000736666200217	8.397660565665704e-14	13.075841683572522	35	Monocytes_FANTOM_2	real	0.0196914	10.4622	9	10.4622
nmf	6	35	165158	5.332720920479013	2.503086619348969e-07	6.6015241213648554	35	Monocytes_FANTOM_2	real	37.4845	18.7227	6	18.7227
pca	6	35	908341	5.452229907849104	1.3960445482120526e-07	6.855100723020891	35	Monocytes_FANTOM_2	real	1.60207	19.9593	6	19.9593
vae	14	35	486191	1.3819906552406638	0.16844985294211795	0.77352936382477	35	Monocytes_FANTOM_2	real	1.28556	19.4206	14	19.4206
dae	1	25	486191	6.700546545979079	1.8922209686260683e-10	9.723028149196669	25	Monocytes_FANTOM_2	real	8.90315	12.6051	1	12.6051
ica	13	25	486191	7.529609097072732	1.5021154491624056e-12	11.823296687167176	25	Monocytes_FANTOM_2	real	0.0172054	14.1552	13	14.1552
nmf	6	25	165158	4.874394541159862	2.1565741536096917e-06	5.666235604084307	25	Monocytes_FANTOM_2	real	36.6321	19.7018	6	19.7018
pca	6	25	165158	5.452229907888611	1.3960445479405148e-07	6.855100723105364	25	Monocytes_FANTOM_2	real	1.60207	19.9593	6	19.9593
vae	17	25	451283	2.3686293638419955	0.018765651580845012	1.7266363514186223	25	Monocytes_FANTOM_2	real	2.90559	20.2147	17	20.2147
dae	0	8	451283	4.384490338669821	1.8413130446769216e-05	4.73487237009551	8	Monocytes_FANTOM_2	real	7.15239	9.39235	0	9.39235
ica	5	8	486191	-5.504072077878707	1.0806574582152622e-07	6.966311944882679	8	Monocytes_FANTOM_2	real	-0.011660700000000001	-20.535999999999998	5	20.535999999999998
nmf	6	8	486191	3.823703237414004	0.00017349182369803562	3.760720987769349	8	Monocytes_FANTOM_2	real	33.6312	18.9061	6	18.9061
pca	6	8	165158	5.452112362790209	1.3968526792332741e-07	6.854849394866373	8	Monocytes_FANTOM_2	real	1.60206	19.961	6	19.961
vae	7	8	908341	-3.146001362990249	0.0018965018722255787	2.7220467242257116	8	Monocytes_FANTOM_2	real	-13.7285	-12.3983	7	12.3983
dae	52	200	908341	-6.294737375246983	1.7822782856075973e-09	8.749024484099435	200	Monocytes_FANTOM_2	real	-4.56506	-14.0869	52	14.0869
ica	68	200	908341	7.074968249625664	2.2177071551793265e-11	10.654095802319556	200	Monocytes_FANTOM_2	real	0.0509876	7.62413	68	7.62413
nmf	6	200	908341	4.727393631557701	4.176719949832246e-06	5.3791646433175675	200	Monocytes_FANTOM_2	real	37.7563	31.9881	6	31.9881
pca	6	200	486191	5.452229907859894	1.3960445481378906e-07	6.855100723043963	200	Monocytes_FANTOM_2	real	1.60207	19.9593	6	19.9593
vae	30	200	451283	3.0921453855071364	0.0022582031655083027	2.6462369881462338	200	Monocytes_FANTOM_2	real	0.908833	20.8387	30	20.8387
dae	76	80	165158	1.5271728879103432	0.12822996295460287	0.8920104831993356	80	Monocytes_FANTOM_2	real	0.49534700000000004	12.1186	76	12.1186
ica	24	80	908341	-6.974754550957145	3.963004123488688e-11	10.401975475784042	80	Monocytes_FANTOM_2	real	-0.027529700000000004	-10.5968	24	10.5968
nmf	6	80	908341	5.0822260041210425	8.262029072169028e-07	6.082913281174929	80	Monocytes_FANTOM_2	real	37.1671	19.3363	6	19.3363
pca	6	80	486191	5.45222990785983	1.3960445481383292e-07	6.855100723043826	80	Monocytes_FANTOM_2	real	1.60207	19.9593	6	19.9593
vae	48	80	908341	4.383281434475324	1.850696070604096e-05	4.732664897128956	80	Monocytes_FANTOM_2	real	0.723204	12.6404	48	12.6404
dae	41	70	978124	3.7110321112623588	0.00026465390123031445	3.5773216997444663	70	Monocytes_FANTOM_2	real	2.28266	13.095999999999998	41	13.095999999999998
ica	54	70	486191	7.503595317032117	1.7566547399990717e-12	11.755313588104938	70	Monocytes_FANTOM_2	real	0.0191764	10.1585	54	10.1585
nmf	6	70	451283	5.042111721813689	9.965164821633289e-07	6.0015155137689264	70	Monocytes_FANTOM_2	real	34.8303	20.1346	6	20.1346
pca	6	70	486191	5.452229907859835	1.3960445481382962e-07	6.8551007230438366	70	Monocytes_FANTOM_2	real	1.60207	19.9593	6	19.9593
vae	56	70	978124	2.276529844757372	0.023827198739177564	1.6229270127785258	70	Monocytes_FANTOM_2	real	1.13071	15.9321	56	15.9321
dae	4	5	451283	-2.3606332214785706	0.01916408534253102	1.7175119037861442	5	Monocytes_FANTOM_2	real	-113.74600000000001	-5.26929	4	5.26929
ica	3	5	165158	-2.162312367039249	0.031729852412018825	1.4985319479687618	5	Monocytes_FANTOM_2	real	-0.00501721	-8.73979	3	8.73979
nmf	0	5	451283	1.6393073549923871	0.10265361944298297	0.9886257333230726	5	Monocytes_FANTOM_2	real	28.4995	3.5272300000000003	0	3.5272300000000003
pca	3	5	908341	-1.1958014964015877	0.23312897518258646	0.6324037454417981	5	Monocytes_FANTOM_2	real	-0.9219450000000001	-8.58894	3	8.58894
vae	2	5	908341	1.091628364181564	0.2762532934749035	0.5586925356436632	5	Monocytes_FANTOM_2	real	3.4373400000000003	7.24793	2	7.24793
