variable	pval	odds	full_feature	tailed
CD8+-Tem_HPCA_1	0.001064586009339664	0.0944290337494221	vae_2_three	neg
Osteoblast_FANTOM_2	0.0011502318475989667	55.09189189189189	vae_1_two	pos
Monocytes_HPCA_2	0.001156659510724686	17.602941176470587	vae_0_three	pos
Erythrocytes_FANTOM_3	0.001156659510724686	17.602941176470587	vae_0_three	pos
Monocytes_IRIS_3	0.0012860662235029583	9.64179104477612	vae_0_three	pos
Neurons_ENCODE_3	0.001318651044131636	2.8177744585511575	vae_1_two	neg
Osteoblast_FANTOM_1	0.0013338983272868047	50.93	vae_1_two	pos
Monocytes_FANTOM_2	0.001362457717787618	0.16629913542651126	vae_1_two	neg
Hepatocytes_HPCA_3	0.001445426189774749	0.10102674610216758	vae_1_two	neg
Preadipocytes_ENCODE_3	0.0014590420684388935	0.10032314923619272	vae_1_two	neg
Neurons_FANTOM_2	0.0015061533579894797	0.10157784808817752	vae_1_three	neg
CD4+-memory-T-cells_FANTOM_1	0.001517165223868724	0.10104938271604938	vae_1_three	neg
Monocytes_BLUEPRINT_2	0.0016531661123468475	15.25	vae_0_three	pos
Erythrocytes_FANTOM_2	0.0016531661123468475	15.25	vae_0_three	pos
Monocytes_IRIS_1	0.0019442758241145742	14.294117647058824	vae_0_three	pos
pro-B-cells_HPCA_3	0.002040969827497825	40.664	vae_1_two	pos
Myocytes_ENCODE_3	0.0020655914006963644	0.16956038613792623	vae_2_three	neg
Endothelial-cells_BLUEPRINT_3	0.0021311391415939464	0.10545790934320073	vae_1_two	neg
Preadipocytes_ENCODE_3	0.0021440097598105553	0.1076270445202484	vae_2_three	neg
Smooth-muscle_HPCA_3	0.00219123581284247	0.10393953872214742	vae_1_two	neg
Smooth-muscle_FANTOM_1	0.002207998782551424	0.10658436213991769	vae_1_three	neg
Hepatocytes_FANTOM_1	0.0022225589231485137	0.10600478314265399	vae_1_three	neg
Tgd-cells_HPCA_1	0.0022370981055425615	0.10400406117139413	vae_2_three	neg
Melanocytes_FANTOM_3	0.002367535047615922	0.2240056818181818	vae_1_two	neg
Erythrocytes_FANTOM_3	0.0024868343420457817	13.324886877828055	vae_0_two	pos
Basophils_NOVERSHTERN_1	0.002510066748285182	7.900497512437811	vae_0_three	pos
Epithelial-cells_ENCODE_2	0.002622662752528603	6.268766920994339	vae_1_three	neg
Osteoblast_FANTOM_3	0.002800262534807645	34.4	vae_1_two	pos
Mesangial-cells_FANTOM_3	0.002905801360314959	0.1765687583444593	vae_1_two	neg
Memory-B-cells_HPCA_3	0.0029312904797831967	8.501666666666667	vae_1_three	neg
MPP_NOVERSHTERN_3	0.002985908595749971	763.7142857142857	vae_2_three	pos
MPP_ENCODE_3	0.002985908595749971	763.7142857142857	vae_2_three	pos
MPP_ENCODE_2	0.002985908595749971	763.7142857142857	vae_2_three	pos
MPP_NOVERSHTERN_2	0.002985908595749971	763.7142857142857	vae_2_three	pos
Monocytes_HPCA_3	0.0031120215911288156	0.11112913692407528	vae_1_two	neg
Fibroblasts_ENCODE_1	0.0031120215911288156	0.11112913692407528	vae_1_two	neg
mv-Endothelial-cells_ENCODE_3	0.0031120215911288156	0.11112913692407528	vae_1_two	neg
Endothelial-cells_BLUEPRINT_3	0.003141317882259087	0.11313089582042278	vae_2_three	neg
Smooth-muscle_HPCA_3	0.0031545535263757182	0.11150338334804354	vae_2_three	neg
CD8+-Tem_BLUEPRINT_2	0.003180408873476636	0.11070658036677454	vae_2_three	neg
CD4+-Tem_HPCA_1	0.003242018243892858	0.10862764655211497	vae_1_two	neg
mv-Endothelial-cells_ENCODE_2	0.00325054115155933	0.11145027811694479	vae_1_three	neg
Hepatocytes_HPCA_2	0.003357651074335447	0.10957624290957624	vae_1_three	neg
DC_BLUEPRINT_1	0.003358833260615871	668.125	vae_2_three	pos
ly-Endothelial-cells_FANTOM_1	0.003358833260615871	668.125	vae_2_three	pos
Adipocytes_FANTOM_1	0.003358833260615871	668.125	vae_2_three	pos
Th2-cells_IRIS_1	0.003358833260615871	668.125	vae_2_three	pos
HSC_FANTOM_3	0.003358833260615871	668.125	vae_2_three	pos
HSC_BLUEPRINT_1	0.003358833260615871	668.125	vae_2_three	pos
GMP_NOVERSHTERN_1	0.003358833260615871	668.125	vae_2_three	pos
HSC_FANTOM_2	0.003358833260615871	668.125	vae_2_three	pos
