algorithm	feature_num	z_dim	seed	t_stat	t_p	neg_log_p	z	variable	model_type	value	z_score	feature	abs_z_score
pca	6	125	978124	8.755670920222608	1.4750774786089673e-06	5.831185167720647	125	Neutrophils_HPCA_2	real	0.12134400000000001	8.35789	6	8.35789
vae	106	125	978124	-5.127425928336392	0.0002501602262335387	3.601781739008755	125	Neutrophils_HPCA_2	real	-0.506436	-20.192	106	20.192
dae	0	2	978124	-1.4997063537691886	0.15953261317625905	0.7971505209162267	2	Neutrophils_HPCA_2	real	-14.7237	-5.86235	0	5.86235
ica	1	2	165158	-0.22758618979059145	0.8237993910151931	0.08417853342699015	2	Neutrophils_HPCA_2	real	-2.21219e-05	-2.78558	1	2.78558
nmf	0	2	908341	-0.21131300400969313	0.8361891878660219	0.07769545228486516	2	Neutrophils_HPCA_2	real	0.14055399999999998	-2.26546	0	2.26546
pca	0	2	978124	0.22396339500210027	0.8265534942054324	0.08272903382099542	2	Neutrophils_HPCA_2	real	0.0104731	2.80206	0	2.80206
vae	0	2	978124	-5.052218143995668	0.00028346795668467584	3.547496026794163	2	Neutrophils_HPCA_2	real	-1.5872899999999999	-9.25953	0	9.25953
dae	6	30	978124	-7.557130697255887	6.702530628535719e-06	5.173761192746253	30	Neutrophils_HPCA_2	real	-1.75545	-11.98	6	11.98
ica	24	30	978124	8.511187104693464	1.9832184132673055e-06	5.702629453997767	30	Neutrophils_HPCA_2	real	0.0018919	12.5603	24	12.5603
nmf	6	30	486191	4.843554617278273	0.00040261728804603724	3.3951075808090168	30	Neutrophils_HPCA_2	real	2.61901	14.3489	6	14.3489
pca	6	30	486191	8.755670920270994	1.4750774785234586e-06	5.831185167745822	30	Neutrophils_HPCA_2	real	0.12134400000000001	8.35789	6	8.35789
vae	11	30	908341	-1.934249221955473	0.07701059648233005	1.1134495127862574	30	Neutrophils_HPCA_2	real	-0.720434	-15.7001	11	15.7001
dae	8	40	978124	-5.283763253702102	0.00019340518314344568	3.7135318912642155	40	Neutrophils_HPCA_2	real	-2.49451	-18.7765	8	18.7765
ica	26	40	978124	7.369029049679989	8.628469523690289e-06	5.064066230514355	40	Neutrophils_HPCA_2	real	0.00261078	10.8291	26	10.8291
nmf	6	40	451283	4.9814474627307135	0.0003190784656521555	3.4961025050011654	40	Neutrophils_HPCA_2	real	2.87513	14.8916	6	14.8916
pca	6	40	978124	8.75567092023584	1.4750774785855845e-06	5.831185167727531	40	Neutrophils_HPCA_2	real	0.12134400000000001	8.35789	6	8.35789
vae	7	40	978124	-10.300784441284005	2.597648322011511e-07	6.585419645467765	40	Neutrophils_HPCA_2	real	-0.744247	-16.4765	7	16.4765
dae	44	100	978124	-8.268859664081974	2.6761550722311214e-06	5.5724887245877	100	Neutrophils_HPCA_2	real	-1.91713	-18.0793	44	18.0793
ica	6	100	486191	10.281763479852915	2.650339196136145e-07	6.576698540560091	100	Neutrophils_HPCA_2	real	0.00470456	9.663889999999999	6	9.663889999999999
nmf	6	100	978124	5.858627224277423	7.733529798282933e-05	4.111622236739147	100	Neutrophils_HPCA_2	real	3.4271	16.1296	6	16.1296
pca	6	100	908341	8.75567092022276	1.4750774786086998e-06	5.831185167720725	100	Neutrophils_HPCA_2	real	0.12134400000000001	8.35789	6	8.35789
vae	49	100	486191	-2.0111172791290617	0.06732799004362866	1.1718043504212634	100	Neutrophils_HPCA_2	real	-0.560161	-23.2266	49	23.2266
dae	42	60	165158	-5.879212019412115	7.49025714275424e-05	4.125503272585944	60	Neutrophils_HPCA_2	real	-2.0620700000000003	-15.138	42	15.138
ica	36	60	978124	-7.52223094839657	7.0218362270951765e-06	5.153549303964699	60	Neutrophils_HPCA_2	real	-0.00274299	-12.2608	36	12.2608
nmf	6	60	165158	5.057264569024081	0.0002810934653718021	3.551149250393821	60	Neutrophils_HPCA_2	real	3.14747	15.6879	6	15.6879
pca	6	60	978124	8.75567092022285	1.475077478608541e-06	5.831185167720772	60	Neutrophils_HPCA_2	real	0.12134400000000001	8.35789	6	8.35789
vae	1	60	451283	-1.5916005104257311	0.13745934849441838	0.8618257188144864	60	Neutrophils_HPCA_2	real	-0.7375430000000001	-15.2945	1	15.2945
dae	0	7	165158	-4.0554104974516	0.0015947770588407584	2.797300020370145	7	Neutrophils_HPCA_2	real	-2.91903	-16.3742	0	16.3742
ica	2	7	978124	-11.477568098016445	7.928211360185116e-08	7.100824780402383	7	Neutrophils_HPCA_2	real	-0.000861837	-10.3556	2	10.3556
nmf	6	7	486191	3.3417458043414676	0.005869106349374265	2.231428020912745	7	Neutrophils_HPCA_2	real	1.6659599999999999	3.8154800000000004	6	3.8154800000000004
pca	6	7	908341	8.755570365710794	1.4752551934325358e-06	5.831132847812419	7	Neutrophils_HPCA_2	real	0.12134400000000001	8.358089999999999	6	8.358089999999999
vae	2	7	486191	-9.274349998880066	8.031607793698825e-07	6.09519750751868	7	Neutrophils_HPCA_2	real	-2.84117	-18.2339	2	18.2339
dae	0	4	486191	-2.887363761225265	0.013642757953686737	1.8650978259411048	4	Neutrophils_HPCA_2	real	-1.6786900000000002	-17.4874	0	17.4874
ica	1	4	451283	-10.528961782404947	2.0463062319889385e-07	6.689029373111118	4	Neutrophils_HPCA_2	real	-0.000286112	-4.2557599999999995	1	4.2557599999999995
nmf	3	4	451283	-2.583005687593445	0.023964716056207352	1.6204277123409963	4	Neutrophils_HPCA_2	real	0.0	-3.3499199999999996	3	3.3499199999999996
pca	3	4	486191	-10.88606712628235	1.4205558367307772e-07	6.847541691115648	4	Neutrophils_HPCA_2	real	-0.059910000000000005	-3.3652599999999997	3	3.3652599999999997
vae	1	4	908341	-4.789455492384	0.0004413894531274289	3.3551780483906817	4	Neutrophils_HPCA_2	real	-2.38671	-12.3892	1	12.3892
dae	0	3	165158	-3.0026973538494177	0.011011359924778733	1.95815904148646	3	Neutrophils_HPCA_2	real	-1.6806900000000002	-17.5449	0	17.5449
ica	0	3	165158	-0.9432333868070317	0.36416504660936766	0.43870174111430227	3	Neutrophils_HPCA_2	real	5.2497299999999996e-05	3.60525	0	3.60525
nmf	0	3	978124	-0.014811009147950352	0.9884263566432504	0.005055682541395632	3	Neutrophils_HPCA_2	real	0.00593441	-2.7882700000000002	0	2.7882700000000002
pca	0	3	486191	0.22396339486037026	0.8265534943132251	0.08272903376435813	3	Neutrophils_HPCA_2	real	0.0104731	2.80206	0	2.80206
vae	0	3	908341	1.4586727475588268	0.17032876732197433	0.7687119965817191	3	Neutrophils_HPCA_2	real	1.70075	18.087	0	18.087
dae	9	14	486191	-4.840386718545116	0.0004047863439491292	3.3927741474715623	14	Neutrophils_HPCA_2	real	-2.26653	-21.8147	9	21.8147
ica	3	14	908341	-9.93354712809876	3.8486636980288563e-07	6.4146900365467046	14	Neutrophils_HPCA_2	real	-0.00123729	-14.2606	3	14.2606
nmf	6	14	165158	4.2565141016229395	0.0011143730472567416	2.9529694005047897	14	Neutrophils_HPCA_2	real	1.97948	7.31215	6	7.31215
pca	6	14	451283	8.755671623810413	1.4750762352052343e-06	5.831185533805558	14	Neutrophils_HPCA_2	real	0.12134400000000001	8.35789	6	8.35789
vae	10	14	486191	-10.046789400768855	3.4050913466242186e-07	6.4678712330015005	14	Neutrophils_HPCA_2	real	-1.22986	-30.0841	10	30.0841
dae	47	50	908341	-6.906203932365861	1.636628706397658e-05	4.786049835586439	50	Neutrophils_HPCA_2	real	-2.86578	-20.0013	47	20.0013
ica	28	50	451283	7.331928849990426	9.073831849814645e-06	5.042209273050415	50	Neutrophils_HPCA_2	real	0.00271019	13.047	28	13.047
nmf	6	50	486191	5.027179356697321	0.0002955648340844738	3.529347238990239	50	Neutrophils_HPCA_2	real	2.9967799999999998	15.4594	6	15.4594
pca	6	50	165158	8.755670920222261	1.475077478609582e-06	5.831185167720466	50	Neutrophils_HPCA_2	real	0.12134400000000001	8.35789	6	8.35789
vae	35	50	908341	-3.3232763283487503	0.006073228948877192	2.216580346514552	50	Neutrophils_HPCA_2	real	-0.5980439999999999	-16.3832	35	16.3832
dae	3	18	165158	-5.2793596095960105	0.0001948029402013675	3.7104044925108264	18	Neutrophils_HPCA_2	real	-3.61765	-12.6071	3	12.6071
ica	2	18	978124	9.546114876020292	5.901853047789405e-07	6.22901160834482	18	Neutrophils_HPCA_2	real	0.00141233	14.2794	2	14.2794
nmf	6	18	451283	4.338528283857479	0.0009641140631260099	3.0158715822218896	18	Neutrophils_HPCA_2	real	2.24562	8.13082	6	8.13082
pca	6	18	165158	8.755670869528835	1.475077568196733e-06	5.831185141344085	18	Neutrophils_HPCA_2	real	0.12134400000000001	8.35789	6	8.35789
vae	5	18	486191	-3.89002815534667	0.0021485055161526508	2.667863526954906	18	Neutrophils_HPCA_2	real	-0.982672	-19.4351	5	19.4351
dae	3	10	451283	-4.208197094578626	0.0012140863676027413	2.915750417347171	10	Neutrophils_HPCA_2	real	-3.7659199999999995	-23.439	3	23.439
ica	0	10	908341	-9.052025749898066	1.038845516360806e-06	5.983449030287173	10	Neutrophils_HPCA_2	real	-0.0009821139999999999	-9.31971	0	9.31971
nmf	6	10	165158	3.3459973163507124	0.00582311161388262	2.234844885518152	10	Neutrophils_HPCA_2	real	1.84528	5.42504	6	5.42504
pca	6	10	978124	8.755649823974272	1.4751147611213546e-06	5.831174191087203	10	Neutrophils_HPCA_2	real	0.12134400000000001	8.35796	6	8.35796
vae	3	10	978124	-4.7639944955250995	0.00046097081180257216	3.3363265728194524	10	Neutrophils_HPCA_2	real	-1.78875	-12.7106	3	12.7106
dae	19	35	451283	-6.096802080549811	5.362114380603364e-05	4.2706639262100845	35	Neutrophils_HPCA_2	real	-2.50467	-14.2527	19	14.2527
ica	9	35	908341	7.159662087136399	1.1488118991844473e-05	4.939751074735322	35	Neutrophils_HPCA_2	real	0.00241743	12.7182	9	12.7182
nmf	6	35	486191	4.929390079679911	0.0003482511551902435	3.4581074342954814	35	Neutrophils_HPCA_2	real	2.77766	14.4808	6	14.4808
pca	6	35	908341	8.755670920142942	1.475077478749759e-06	5.831185167679195	35	Neutrophils_HPCA_2	real	0.12134400000000001	8.35789	6	8.35789
vae	6	35	451283	-3.9009987027839217	0.002106266669302554	2.6764866447009212	35	Neutrophils_HPCA_2	real	-1.08218	-14.9514	6	14.9514
dae	13	25	165158	-7.930723280959992	4.109577202468425e-06	5.386202856488904	25	Neutrophils_HPCA_2	real	-2.5642400000000003	-12.0887	13	12.0887
ica	9	25	908341	9.040360065956087	1.0531070236303482e-06	5.977527490723133	25	Neutrophils_HPCA_2	real	0.00173769	11.9552	9	11.9552
nmf	6	25	451283	4.611934194211574	0.0005984653598666274	3.222960982190158	25	Neutrophils_HPCA_2	real	2.48076	10.2385	6	10.2385
pca	6	25	908341	8.755670919543045	1.4750774798099168e-06	5.831185167367061	25	Neutrophils_HPCA_2	real	0.12134400000000001	8.35789	6	8.35789
vae	23	25	486191	-3.620294288211822	0.0035126706601192356	2.454362566745914	25	Neutrophils_HPCA_2	real	-0.9578270000000001	-17.583	23	17.583
dae	0	8	486191	-3.5513738789723757	0.003986562000413904	2.3994014772176206	8	Neutrophils_HPCA_2	real	-1.8271700000000002	-18.5008	0	18.5008
ica	4	8	908341	-9.915764911918947	3.923782885543474e-07	6.406295031419275	8	Neutrophils_HPCA_2	real	-0.000903442	-10.7023	4	10.7023
nmf	6	8	978124	3.4003278746346304	0.005266519619301193	2.278476293604027	8	Neutrophils_HPCA_2	real	1.77948	5.06597	6	5.06597
pca	6	8	165158	8.755929929511076	1.4746198246778889e-06	5.831319931771359	8	Neutrophils_HPCA_2	real	0.12134400000000001	8.35811	6	8.35811
vae	7	8	978124	-12.08334996171483	4.4768103116823906e-08	7.349031306852847	8	Neutrophils_HPCA_2	real	-1.3788799999999999	-19.2466	7	19.2466
dae	149	200	978124	-5.201579142573958	0.0002213239710633111	3.65497154614173	200	Neutrophils_HPCA_2	real	-1.77973	-21.4645	149	21.4645
ica	20	200	908341	8.654591802202214	1.6658519336936211e-06	5.778363602711657	200	Neutrophils_HPCA_2	real	0.00790354	12.242	20	12.242
nmf	92	200	451283	6.005476033055542	6.164733494513138e-05	4.210085693498761	200	Neutrophils_HPCA_2	real	2.2231	18.2383	92	18.2383
pca	6	200	451283	8.755670920222803	1.4750774786086227e-06	5.831185167720748	200	Neutrophils_HPCA_2	real	0.12134400000000001	8.35789	6	8.35789
vae	42	200	451283	-2.483703658732196	0.028762187938400314	1.5411780802699657	200	Neutrophils_HPCA_2	real	-0.47014300000000003	-24.3409	42	24.3409
dae	35	80	978124	-7.32844874030628	9.116848732075072e-06	5.04015525101043	80	Neutrophils_HPCA_2	real	-1.75525	-18.7621	35	18.7621
ica	53	80	908341	-5.491634679037611	0.0001380980579134869	3.8598124289042555	80	Neutrophils_HPCA_2	real	-0.00192293	-9.867519999999999	53	9.867519999999999
nmf	6	80	486191	5.200836825889225	0.00022159464589156666	3.654440737119777	80	Neutrophils_HPCA_2	real	3.4449400000000003	17.2368	6	17.2368
pca	6	80	978124	8.755670920222641	1.4750774786089118e-06	5.831185167720663	80	Neutrophils_HPCA_2	real	0.12134400000000001	8.35789	6	8.35789
vae	6	80	165158	-5.355174832940682	0.00017215425223052525	3.7640822457014185	80	Neutrophils_HPCA_2	real	-0.615237	-19.8457	6	19.8457
dae	2	70	908341	-5.567164161484292	0.00012237455943852403	3.912308858692482	70	Neutrophils_HPCA_2	real	-2.58314	-18.82	2	18.82
ica	54	70	486191	6.648611622577527	2.365103145090792e-05	4.6261499143904565	70	Neutrophils_HPCA_2	real	0.0026608	12.3539	54	12.3539
nmf	6	70	908341	5.425361377376274	0.00015365188482289118	3.813462107954558	70	Neutrophils_HPCA_2	real	3.2799199999999997	16.5324	6	16.5324
pca	6	70	908341	8.755670920222434	1.4750774786092775e-06	5.831185167720555	70	Neutrophils_HPCA_2	real	0.12134400000000001	8.35789	6	8.35789
vae	39	70	908341	7.626434759977851	6.113498898248394e-06	5.213710161724479	70	Neutrophils_HPCA_2	real	0.196525	15.1769	39	15.1769
dae	3	5	451283	-3.0385257091147193	0.010302062571986697	1.9870758166583113	5	Neutrophils_HPCA_2	real	-1.7299	-17.742	3	17.742
ica	3	5	165158	-7.497961733538384	7.2534321939815436e-06	5.139456444436893	5	Neutrophils_HPCA_2	real	-0.00036789099999999996	-3.8168300000000004	3	3.8168300000000004
nmf	3	5	908341	-2.7613064545503483	0.017237383016708553	1.7635286681907334	5	Neutrophils_HPCA_2	real	0.0	-3.41336	3	3.41336
pca	3	5	451283	-10.88610835862969	1.4204967892887028e-07	6.8475597435642594	5	Neutrophils_HPCA_2	real	-0.0599052	-3.3649199999999997	3	3.3649199999999997
vae	4	5	451283	-5.946237592223505	6.752695069032389e-05	4.170522861241851	5	Neutrophils_HPCA_2	real	-2.59422	-13.6047	4	13.6047
