	loss	val_loss	num_components	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
55	2668.329906399187	2659.907322724964	125	0.002	150	100	1.0	7723	1	100
56	2667.5733473601586	2659.2063492433977	125	0.002	150	100	1.0	7723	1	100
57	2667.1760304741865	2660.1503570148184	125	0.002	150	100	1.0	7723	1	100
58	2666.930599324903	2658.4617464784	125	0.002	150	100	1.0	7723	1	100
59	2666.694876506809	2660.21312869712	125	0.002	150	100	1.0	7723	1	100
60	2666.516873507093	2656.295642626673	125	0.002	150	100	1.0	7723	1	100
61	2665.7182343038303	2660.2498828311723	125	0.002	150	100	1.0	7723	1	100
62	2666.736365810789	2658.149146114663	125	0.002	150	100	1.0	7723	1	100
63	2666.2402463317435	2655.878273258246	125	0.002	150	100	1.0	7723	1	100
64	2665.9828078366104	2655.337837875687	125	0.002	150	100	1.0	7723	1	100
65	2665.285169529507	2660.2179116126913	125	0.002	150	100	1.0	7723	1	100
66	2665.5605518807515	2655.3684828924174	125	0.002	150	100	1.0	7723	1	100
67	2665.948038066952	2661.8692633955247	125	0.002	150	100	1.0	7723	1	100
68	2665.1152572250894	2655.379062163898	125	0.002	150	100	1.0	7723	1	100
69	2664.5124889354734	2655.4943927013624	125	0.002	150	100	1.0	7723	1	100
70	2664.97972999961	2656.100783397317	125	0.002	150	100	1.0	7723	1	100
71	2664.6770859875055	2655.1883253166825	125	0.002	150	100	1.0	7723	1	100
72	2663.764199735406	2655.729097734674	125	0.002	150	100	1.0	7723	1	100
73	2665.1586466397866	2656.6822745503705	125	0.002	150	100	1.0	7723	1	100
74	2664.7236297001155	2655.771674365888	125	0.002	150	100	1.0	7723	1	100
75	2664.438220205766	2660.0033502815786	125	0.002	150	100	1.0	7723	1	100
76	2663.8307880339607	2652.500767432481	125	0.002	150	100	1.0	7723	1	100
77	2663.6643040729077	2653.5723748580904	125	0.002	150	100	1.0	7723	1	100
