Gene ID,Symbol,SAGD Group,Species,FPKM(F),FPKM(M),Chromosome,log2(M/F ratio),Padj
ENSG00000012817,KDM5D,SAGD_00032,Human,0.02046807052464,25.9482723378266,Y,10.32,0.0
ENSG00000229807,XIST,SAGD_00158,Human,29.7486543721197,0.0922216202071317,X,-8.4103,2.1951e-220
ENSG00000067048,DDX3Y,SAGD_00045,Human,0.0500954018527829,22.5752818688974,Y,8.8064,0.0
ENSG00000129824,RPS4Y1,SAGD_00054,Human,0.208432298462423,31.9929603849038,Y,7.4402,3.0876e-213
ENSG00000129824,RPS4Y1,SAGD_00059,Human,0.169340402108602,77.4803941228993,Y,9.0689,0.0
ENSG00000270641,TSIX,SAGD_00075,Human,0.00876304599319103,6.54310669612805e-05,X,-5.5489,2.1808e-18
ENSG00000159399,HK2,SAGD_00001,Human,14.0835218230121,2.62896299073265,2,-2.2666,9.4828e-24
ENSG00000165246,NLGN4Y,SAGD_00038,Human,0.00534091367827122,1.98851692412578,Y,8.5297,2.9813e-170
ENSG00000131002,TXLNGY,SAGD_00132,Human,0.000837472956326714,1.85759243646504,Y,11.202,5.4113e-28
ENSG00000129824,RPS4Y1,SAGD_00033,Human,0.123929644274376,33.8514850130677,Y,8.0001,4.9284e-159
ENSG00000012817,KDM5D,SAGD_00060,Human,0.0152611349941931,5.37622263042754,Y,8.3992,0.0
ENSG00000183878,UTY,SAGD_00036,Human,0.0198715527539857,2.27669256029716,Y,7.5306,2.1151e-86
ENSG00000012817,KDM5D,SAGD_00040,Human,0.0345594761525191,7.99026336201871,Y,8.2936,6.4634e-124
ENSG00000229807,XIST,SAGD_00137,Human,15.3077735706127,0.0175373402401913,X,-9.583,1.4969e-25
ENSG00000067048,DDX3Y,SAGD_00055,Human,0.0266877765907036,10.2344868662981,Y,8.6372,0.0
ENSG00000129824,RPS4Y1,SAGD_00057,Human,0.190974556681641,98.9455400094652,Y,9.0459,0.0
ENSG00000183878,UTY,SAGD_00133,Human,0.00174249670694735,1.91655024477721,Y,10.158,6.6784e-45
ENSG00000129824,RPS4Y1,SAGD_00049,Human,0.167624030439814,81.4067307394594,Y,8.8473,0.0
ENSG00000198692,EIF1AY,SAGD_00065,Human,0.0189728569837508,12.1981638390106,Y,9.4086,8.0041e-240
ENSG00000131002,TXLNGY,SAGD_00039,Human,0.0095723234329437,1.47528180241925,Y,7.3279,1.1898e-167
ENSG00000129824,RPS4Y1,SAGD_00058,Human,0.229503912207123,86.3524813239506,Y,8.6764,0.0
ENSG00000229807,XIST,SAGD_00035,Human,10.3796574915473,0.0198343264725342,X,-8.9698,0.0
ENSG00000157570,TSPAN18,SAGD_00153,Human,1.82204901660188,10.8989509521764,11,2.5146,3.0246e-08
ENSG00000131002,TXLNGY,SAGD_00068,Human,0.0109783582691477,6.82916477776364,Y,9.3603,0.0
ENSG00000206159,GYG2P1,SAGD_00015,Human,0.0203673471026412,3.59301130676024,Y,7.5197,8.3418e-16
ENSG00000012817,KDM5D,SAGD_00014,Human,0.0837469553843471,17.2325110940366,Y,7.8068,2.9073e-76
ENSG00000131002,TXLNGY,SAGD_00056,Human,0.0119220584759221,4.45447183822496,Y,8.5544,0.0
ENSG00000114374,USP9Y,SAGD_00042,Human,0.00710226548028299,9.11910304100079,Y,10.183,0.0
ENSG00000067048,DDX3Y,SAGD_00052,Human,0.0448261729544343,29.5851965629046,Y,9.3476,6.366e-285
ENSG00000012817,KDM5D,SAGD_00071,Human,0.0323936044027703,10.2334713799708,Y,8.3019,0.0
ENSG00000183878,UTY,SAGD_00002,Human,0.0,0.657650519373228,Y,10.043,2.0126e-49
ENSG00000114374,USP9Y,SAGD_00016,Human,0.0150565591196765,9.81569502865045,Y,9.3177,3.0156e-109
ENSG00000012817,KDM5D,SAGD_00034,Human,0.024109304098839,13.8221222710227,Y,9.1322,0.0
ENSG00000067048,DDX3Y,SAGD_00163,Human,0.0114336746769077,25.5630744209745,Y,11.551,1.7155e-189
ENSG00000012817,KDM5D,SAGD_00072,Human,0.0310571929497819,18.4284255967577,Y,9.2904,0.0
ENSG00000229807,XIST,SAGD_00108,Human,6.4268551339745,0.0,X,-15.54,2.2274e-15
ENSG00000067048,DDX3Y,SAGD_00063,Human,0.0387549900460748,6.3509965614025,Y,7.5522,7.4861e-300
ENSG00000012817,KDM5D,SAGD_00043,Human,0.0224639076546498,12.7178269660102,Y,9.1611,0.0
ENSG00000012817,KDM5D,SAGD_00048,Human,0.02651048685647,18.2519841003921,Y,9.3584,0.0
ENSG00000067048,DDX3Y,SAGD_00064,Human,0.0339161345179404,25.5299441091229,Y,9.5478,0.0
ENSG00000131002,TXLNGY,SAGD_00131,Human,0.0032606304564793,1.31144661872095,Y,8.5744,1.1585e-174
ENSG00000012817,KDM5D,SAGD_00073,Human,0.0201176358777613,13.965257536807,Y,9.4742,0.0
ENSG00000067048,DDX3Y,SAGD_00065,Human,0.0416811482274054,9.75217788571071,Y,7.9114,6.9346e-233
ENSG00000110203,FOLR3,SAGD_00107,Human,271.218084787075,26.5712098484088,11,-3.5903,9.4283e-13
ENSG00000012817,KDM5D,SAGD_00053,Human,0.0139845264650119,6.17041496859695,Y,8.7492,0.0
ENSG00000125869,LAMP5,SAGD_00137,Human,0.220090279434525,4.87674590324076,20,4.4566,0.00071098
ENSG00000012817,KDM5D,SAGD_00135,Human,0.0329788030091173,4.32890092389375,Y,7.0812,1.5802e-203
ENSG00000012817,KDM5D,SAGD_00036,Human,0.0590457162403521,5.52178026782795,Y,6.9633,3.1466e-80
ENSG00000131002,TXLNGY,SAGD_00057,Human,0.0107808110246766,6.85246420629629,Y,9.2548,1.34e-296
ENSG00000012817,KDM5D,SAGD_00061,Human,0.027069141651164,13.1059204009647,Y,9.0245,0.0
ENSG00000198692,EIF1AY,SAGD_00133,Human,0.00358221806295317,10.0196454103758,Y,11.576,1.4395e-43
ENSG00000012817,KDM5D,SAGD_00041,Human,0.0137767727657179,4.84331334985148,Y,8.5701,1.8904e-226
ENSG00000129824,RPS4Y1,SAGD_00040,Human,0.214845914840885,37.9496244895341,Y,7.8399,3.6824e-122
ENSG00000005884,ITGA3,SAGD_00129,Human,54.4517413817587,13.2322526274363,17,-2.0357,0.0
ENSG00000114374,USP9Y,SAGD_00044,Human,0.0107390461627013,4.76084852212807,Y,9.2252,1.0934e-214
ENSG00000006047,YBX2,SAGD_00051,Human,0.247332726560654,265.826510120942,17,9.7604,0.0
ENSG00000114374,USP9Y,SAGD_00039,Human,0.0111142299499373,3.72225150932535,Y,8.3191,1.2631e-146
ENSG00000229807,XIST,SAGD_00076,Human,10.8210375873758,0.0178351896376758,X,-9.3157,2.7727e-125
ENSG00000129824,RPS4Y1,SAGD_00158,Human,0.440672520768572,163.828331549497,Y,8.4327,8.6324e-187
ENSG00000067048,DDX3Y,SAGD_00047,Human,0.0387091232871758,54.2931609621091,Y,10.411,0.0
ENSG00000131002,TXLNGY,SAGD_00070,Human,0.00876474259672971,1.79217475269271,Y,7.9599,2.5305e-127
ENSG00000067048,DDX3Y,SAGD_00032,Human,0.0318067331903552,23.1431069190049,Y,9.5065,0.0
ENSG00000229807,XIST,SAGD_00058,Human,15.1868862591232,0.0232085937258916,X,-9.4707,0.0
ENSG00000167553,TUBA1C,SAGD_00153,Human,0.711329832722873,5.42178530984656,12,2.8956,5.4867e-08
ENSG00000067048,DDX3Y,SAGD_00060,Human,0.0241989370186919,9.49005838890122,Y,8.6483,0.0
ENSG00000131002,TXLNGY,SAGD_00049,Human,0.00848601682566509,5.97308996669961,Y,9.3446,0.0
ENSG00000067048,DDX3Y,SAGD_00059,Human,0.0534322335970767,17.9253207699507,Y,8.6419,2.3763e-196
ENSG00000129824,RPS4Y1,SAGD_00055,Human,0.155030495024991,39.9482157123865,Y,8.1477,0.0
ENSG00000067048,DDX3Y,SAGD_00035,Human,0.0527206104409438,12.4953693672564,Y,7.8459,5.8865e-304
ENSG00000129824,RPS4Y1,SAGD_00038,Human,0.177962245307672,32.9263225464785,Y,7.5231,2.2552e-149
ENSG00000184895,SRY,SAGD_00075,Human,0.157108920404525,1.2517541097182,Y,5.1764,1.9068e-15
ENSG00000114374,USP9Y,SAGD_00054,Human,0.0131867835501705,2.42239375153326,Y,7.6352,1.3167e-165
ENSG00000012817,KDM5D,SAGD_00067,Human,0.0297402008117745,28.8624138670783,Y,9.9496,0.0
ENSG00000012817,KDM5D,SAGD_00033,Human,0.0166471627058724,4.99678785997756,Y,8.1725,1.4683e-150
ENSG00000114374,USP9Y,SAGD_00045,Human,0.0137669884289802,4.81659596247756,Y,8.4758,0.0
ENSG00000012817,KDM5D,SAGD_00066,Human,0.0271497324764715,23.0410009319139,Y,9.8023,0.0
ENSG00000229807,XIST,SAGD_00074,Human,20.7926660075839,0.0546658070401069,X,-8.5852,2.2076e-106
ENSG00000198692,EIF1AY,SAGD_00001,Human,0.0472502790441267,8.42400542438325,Y,7.6749,9.4828e-24
ENSG00000183878,UTY,SAGD_00132,Human,0.00134059843859354,1.46549531924721,Y,10.139,5.4113e-28
ENSG00000131002,TXLNGY,SAGD_00014,Human,0.0304750025243893,5.93441060554447,Y,7.7165,2.2449e-60
ENSG00000225117,ARSDP1,SAGD_00015,Human,0.0543225491290504,3.61412183686978,Y,6.1035,5.129e-12
ENSG00000067048,DDX3Y,SAGD_00034,Human,0.0466077606000867,21.3968007565662,Y,8.8232,0.0
ENSG00000114374,USP9Y,SAGD_00052,Human,0.00806542056138823,3.81195257020538,Y,8.8559,1.6016e-259
ENSG00000067048,DDX3Y,SAGD_00016,Human,0.0314999067370249,22.7530382705043,Y,9.4889,8.769e-95
ENSG00000114374,USP9Y,SAGD_00108,Human,0.0,5.37931555978338,Y,12.775,4.5704e-12
ENSG00000012817,KDM5D,SAGD_00163,Human,0.00348085073681752,9.35643491500406,Y,11.758,4.1116e-156
ENSG00000067048,DDX3Y,SAGD_00048,Human,0.0376802069636488,27.2932763367266,Y,9.4346,0.0
ENSG00000114374,USP9Y,SAGD_00002,Human,0.00028700485250913,0.665490998417834,Y,10.062,2.1983e-49
ENSG00000012817,KDM5D,SAGD_00056,Human,0.0303825727601486,6.06703511877478,Y,7.6405,3.6699e-245
ENSG00000067048,DDX3Y,SAGD_00071,Human,0.0565420994937851,19.8238513963782,Y,8.4936,0.0
ENSG00000129824,RPS4Y1,SAGD_00042,Human,0.122423451339952,43.496008962552,Y,8.4809,0.0
ENSG00000114374,USP9Y,SAGD_00072,Human,0.0104804040691506,7.64362961790321,Y,9.5733,0.0
ENSG00000114374,USP9Y,SAGD_00068,Human,0.00781989183827538,4.51115637455416,Y,9.3067,2.1341e-297
ENSG00000229807,XIST,SAGD_00133,Human,5.25556797560749,0.00357465751355857,X,-10.485,1.1534e-42
ENSG00000067048,DDX3Y,SAGD_00053,Human,0.0338675442189051,8.10158901465074,Y,8.0575,0.0
ENSG00000067048,DDX3Y,SAGD_00061,Human,0.0347686064179208,10.931754339248,Y,8.3884,0.0
ENSG00000244734,HBB,SAGD_00153,Human,7.13357268783787,0.693862499140062,11,-3.4461,5.6148e-08
ENSG00000012817,KDM5D,SAGD_00059,Human,0.0263745604605165,11.6556567469335,Y,9.0122,3.5255e-170
ENSG00000129824,RPS4Y1,SAGD_00060,Human,0.119200676547416,42.7534034961163,Y,8.5088,7.6348e-291
ENSG00000131002,TXLNGY,SAGD_00072,Human,0.0115206205564681,7.8341263832543,Y,9.5269,0.0
ENSG00000109956,B3GAT1,SAGD_00107,Human,0.0603489319076655,1.09642385321823,11,3.9542,3.4639e-09
ENSG00000129824,RPS4Y1,SAGD_00053,Human,0.100786346647082,41.3341886562903,Y,8.6907,0.0
ENSG00000129824,RPS4Y1,SAGD_00064,Human,0.139031018114291,97.3397763384368,Y,9.4311,0.0
ENSG00000067048,DDX3Y,SAGD_00073,Human,0.030758992239857,27.0112732013677,Y,9.842,0.0
ENSG00000067048,DDX3Y,SAGD_00042,Human,0.0251494208408118,30.3614540203671,Y,10.263,5.773e-274
ENSG00000114374,USP9Y,SAGD_00061,Human,0.00845488623428087,5.88145424206617,Y,9.5628,0.0
ENSG00000067048,DDX3Y,SAGD_00158,Human,0.123325477853713,46.9171938711411,Y,8.4532,7.6074e-144
ENSG00000260428,SCX,SAGD_00132,Human,13.3707634944633,0.656330528024616,8,-4.2739,6.879e-27
ENSG00000054803,CBLN4,SAGD_00153,Human,7.9189999623673,1.59001886103717,20,-2.3346,0.00010232
ENSG00000131002,TXLNGY,SAGD_00052,Human,0.00897978416712183,4.74020415304651,Y,8.8887,6.7499e-251
ENSG00000067048,DDX3Y,SAGD_00068,Human,0.040252202467241,18.3890445046094,Y,8.9057,9.1039e-234
ENSG00000114374,USP9Y,SAGD_00131,Human,0.00252105110034952,1.80410366900169,Y,9.3547,4.8767e-147
ENSG00000129824,RPS4Y1,SAGD_00034,Human,0.19589293071248,79.1816768324963,Y,8.6761,2.614e-301
ENSG00000114374,USP9Y,SAGD_00060,Human,0.00578727429749193,3.53364619644353,Y,9.2814,6.9875e-250
ENSG00000099725,PRKY,SAGD_00072,Human,0.0284569808460151,4.16682735459025,Y,7.1992,8.7009e-225
ENSG00000006016,CRLF1,SAGD_00129,Human,42.8319438313374,319.590581239924,19,2.9072,0.0
ENSG00000129824,RPS4Y1,SAGD_00032,Human,0.134417857235822,110.395938292391,Y,9.7663,0.0
ENSG00000114374,USP9Y,SAGD_00041,Human,0.00707410661514576,2.97953553681165,Y,8.8688,8.0242e-214
ENSG00000131002,TXLNGY,SAGD_00053,Human,0.00567829915141489,2.19238671352584,Y,8.6688,7.0203e-187
ENSG00000067048,DDX3Y,SAGD_00014,Human,0.324383806522312,59.2193729362278,Y,7.6467,1.1275e-55
ENSG00000012817,KDM5D,SAGD_00037,Human,0.0233552738912452,12.5436152151802,Y,9.1591,0.0
ENSG00000129824,RPS4Y1,SAGD_00073,Human,0.145684078557112,74.5693668215514,Y,9.1105,0.0
ENSG00000229807,XIST,SAGD_00052,Human,11.1249118270054,0.0154049676384828,X,-9.4464,1.5929e-250
ENSG00000131002,TXLNGY,SAGD_00060,Human,0.00616455674628365,2.43173034068502,Y,8.6043,4.5763e-212
ENSG00000099725,PRKY,SAGD_00158,Human,0.16395217895412,15.4262836341352,Y,6.5083,4.3822e-123
ENSG00000129824,RPS4Y1,SAGD_00072,Human,0.214812995642872,107.571844880645,Y,8.9663,1.1275e-210
ENSG00000099725,PRKY,SAGD_00133,Human,0.0567922040940205,1.6814503839968,Y,4.8731,5.8678e-24
ENSG00000114374,USP9Y,SAGD_00059,Human,0.0126827350919629,5.28378816668834,Y,8.8949,9.286e-134
ENSG00000114374,USP9Y,SAGD_00070,Human,0.00810821892699698,2.78102439474522,Y,8.4268,6.2252e-125
ENSG00000012817,KDM5D,SAGD_00062,Human,0.0275505460458195,13.9934145751412,Y,8.9524,0.0
ENSG00000183878,UTY,SAGD_00068,Human,0.00793012768706545,2.69556493713845,Y,8.6092,2.7054e-202
ENSG00000114374,USP9Y,SAGD_00035,Human,0.0133010725234672,3.372711389889,Y,8.0116,2.2233e-272
ENSG00000114374,USP9Y,SAGD_00073,Human,0.0112879869267552,4.87335301345022,Y,8.8595,3.8905e-304
ENSG00000229807,XIST,SAGD_00063,Human,2.50400437183971,0.00919767268135425,X,-7.9229,1.0632e-225
ENSG00000167034,NKX3-1,SAGD_00107,Human,11.0891899036114,0.737319913782287,8,-4.2849,1.1512e-06
ENSG00000011347,SYT7,SAGD_00129,Human,3.90156175048869,28.304899537422,11,2.8664,0.0
ENSG00000114374,USP9Y,SAGD_00053,Human,0.00537712786510177,2.99743110988368,Y,9.173,2.1181e-152
ENSG00000183878,UTY,SAGD_00072,Human,0.00832714613053593,3.63263393152656,Y,8.9947,1.5849e-210
ENSG00000012817,KDM5D,SAGD_00108,Human,0.0,6.04021214589067,Y,12.69,4.9444e-12
ENSG00000012817,KDM5D,SAGD_00050,Human,0.0218515529377475,16.5961578017195,Y,9.517,0.0
ENSG00000183878,UTY,SAGD_00014,Human,0.0417954671083969,6.78930198931637,Y,7.4728,7.5709e-54
ENSG00000163491,NEK10,SAGD_00132,Human,0.172574683104375,1.01655821584449,3,2.6148,3.8388e-21
ENSG00000067048,DDX3Y,SAGD_00135,Human,0.0493353205874606,5.10668690667968,Y,6.6489,3.4772e-166
ENSG00000183878,UTY,SAGD_00158,Human,0.0548890899477217,14.1160738683987,Y,8.038,1.7127e-82
ENSG00000165246,NLGN4Y,SAGD_00060,Human,0.0109062919745406,2.37494716712275,Y,7.8014,2.7467e-145
ENSG00000198692,EIF1AY,SAGD_00070,Human,0.0168558032775174,4.04102045354488,Y,7.9419,1.4013e-114
ENSG00000114374,USP9Y,SAGD_00062,Human,0.00895680634762366,9.63782950993334,Y,10.067,0.0
ENSG00000131002,TXLNGY,SAGD_00065,Human,0.00941463558897359,2.43227662915812,Y,8.0062,4.1896e-209
ENSG00000012817,KDM5D,SAGD_00052,Human,0.0235528556756306,12.576433671367,Y,8.9736,3.5114e-217
ENSG00000183878,UTY,SAGD_00016,Human,0.0426524499591518,5.209179950836,Y,6.9154,1.2834e-93
ENSG00000131002,TXLNGY,SAGD_00073,Human,0.006236513878878,5.79745405353913,Y,9.8624,7.9505e-254
ENSG00000198692,EIF1AY,SAGD_00072,Human,0.0247382989541279,4.68099249178497,Y,7.7975,6.1394e-203
ENSG00000129824,RPS4Y1,SAGD_00066,Human,0.166341558062204,81.3753519643865,Y,9.0284,0.0
ENSG00000099725,PRKY,SAGD_00049,Human,0.0137524806058847,4.7201325658516,Y,8.3095,1.748e-253
ENSG00000131002,TXLNGY,SAGD_00032,Human,0.00719380492757964,7.96584896810049,Y,10.218,6.5827e-293
ENSG00000067048,DDX3Y,SAGD_00043,Human,0.0419816513580164,27.7246230805581,Y,9.4011,0.0
ENSG00000012817,KDM5D,SAGD_00069,Human,0.0187254137311107,12.7179372535648,Y,9.4296,0.0
ENSG00000131002,TXLNGY,SAGD_00061,Human,0.0109721942860679,8.50942036025078,Y,9.8036,0.0
ENSG00000131002,TXLNGY,SAGD_00042,Human,0.00646248081374006,3.08153926280783,Y,8.8587,1.4833e-216
ENSG00000099725,PRKY,SAGD_00040,Human,0.0125459471603539,1.21381513571069,Y,7.0034,1.2905e-113
ENSG00000099725,PRKY,SAGD_00047,Human,0.0233969607264759,5.19484285672304,Y,7.7259,0.0
ENSG00000229807,XIST,SAGD_00057,Human,7.4862785441923,0.0176841986972805,X,-8.767,1.6158e-280
ENSG00000099725,PRKY,SAGD_00036,Human,0.0230649256941866,2.08369935236914,Y,6.7026,6.5177e-68
ENSG00000158481,CD1C,SAGD_00137,Human,0.154916177039629,14.6037918563288,1,3.9787,0.0012336
ENSG00000067048,DDX3Y,SAGD_00138,Human,0.0247725340097239,52.7438473924648,Y,11.23,1.532e-69
ENSG00000114374,USP9Y,SAGD_00033,Human,0.00898503167167096,2.50334643713216,Y,8.0816,3.5789e-138
ENSG00000237659,RNASEH2CP1,SAGD_00075,Human,0.19969145444538,1.96779774463338,Y,5.0782,3.8265e-15
ENSG00000131002,TXLNGY,SAGD_00059,Human,0.0142854827670801,11.4958459420101,Y,9.9053,1.4494e-117
ENSG00000114374,USP9Y,SAGD_00064,Human,0.00733526862359639,5.56615850087011,Y,9.5774,1.162e-271
ENSG00000067048,DDX3Y,SAGD_00108,Human,0.0,13.1013020745987,Y,13.018,6.4883e-12
ENSG00000229807,XIST,SAGD_00073,Human,12.9604905765803,0.0202702182457843,X,-9.3234,1.6875e-188
ENSG00000198692,EIF1AY,SAGD_00053,Human,0.0106376602993918,19.2727945052161,Y,10.807,7.4811e-140
ENSG00000067048,DDX3Y,SAGD_00070,Human,0.0460084536243504,7.31610084941205,Y,7.3332,7.8356e-87
ENSG00000229236,TTTY10,SAGD_00074,Human,0.0291504892729539,0.631322770820644,Y,5.2129,1.5292e-22
ENSG00000114374,USP9Y,SAGD_00055,Human,0.00793457845470936,3.58086924878237,Y,8.8275,1.1595e-263
ENSG00000129824,RPS4Y1,SAGD_00056,Human,0.18875716553756,49.1142522987172,Y,7.9965,7.2183e-236
ENSG00000131002,TXLNGY,SAGD_00058,Human,0.0161213235742212,6.19918148397157,Y,8.9894,1.0142e-284
ENSG00000131002,TXLNGY,SAGD_00035,Human,0.0123861303421953,3.43498859850316,Y,8.0941,2.1017e-247
ENSG00000233864,TTTY15,SAGD_00133,Human,0.000922413140327731,1.31526065163623,Y,10.602,6.268e-24
ENSG00000198692,EIF1AY,SAGD_00039,Human,0.0152840399513724,2.97449911286291,Y,7.7771,3.2153e-141
ENSG00000067048,DDX3Y,SAGD_00038,Human,0.0513872881974213,7.53910969596932,Y,7.3997,1.1721e-137
ENSG00000067048,DDX3Y,SAGD_00067,Human,0.0411958418272776,31.1039265414197,Y,9.6032,0.0
ENSG00000241859,ANOS2P,SAGD_00076,Human,0.00880941700627468,0.556783365208967,Y,6.2492,8.3529e-27
ENSG00000131002,TXLNGY,SAGD_00054,Human,0.0180195862330384,1.47527032702757,Y,6.8792,3.5194e-151
ENSG00000067048,DDX3Y,SAGD_00037,Human,0.0438570593170331,21.3066214622595,Y,9.0351,0.0
ENSG00000129824,RPS4Y1,SAGD_00046,Human,0.144196641963946,78.557272932963,Y,8.8507,5.5885e-156
ENSG00000131002,TXLNGY,SAGD_00034,Human,0.0131613049872629,5.25125910455899,Y,8.5746,4.1386e-295
ENSG00000226210,AC215219.1,SAGD_00107,Human,0.733095286938672,5.47815592940825,12,2.6221,1.2847e-06
ENSG00000011422,PLAUR,SAGD_00129,Human,7.04819500330924,75.6905743482805,19,3.4327,0.0
ENSG00000198692,EIF1AY,SAGD_00068,Human,0.0128135797865376,4.67741968428561,Y,8.5969,4.5939e-168
ENSG00000129824,RPS4Y1,SAGD_00077,Human,0.105827373542224,95.4717732831194,Y,9.8273,5.6434e-171
ENSG00000012817,KDM5D,SAGD_00158,Human,0.0398872186083329,9.77816385629555,Y,7.7812,1.8887e-68
ENSG00000067646,ZFY,SAGD_00131,Human,0.00637791568331677,1.72765628474325,Y,8.0958,7.7345e-146
ENSG00000135083,CCNJL,SAGD_00153,Human,0.184414166922828,1.10062567905348,5,2.5488,0.00010232
ENSG00000114374,USP9Y,SAGD_00135,Human,0.0132199735914447,1.45535419912175,Y,6.7293,2.9872e-111
ENSG00000010318,PHF7,SAGD_00051,Human,1.98879497827013,699.708679686976,3,8.1869,0.0
ENSG00000131002,TXLNGY,SAGD_00044,Human,0.0200318363710321,2.08057000667265,Y,7.391,1.0234e-207
ENSG00000129824,RPS4Y1,SAGD_00063,Human,0.219967457046575,34.9593325184256,Y,7.5222,1.0474e-217
ENSG00000129824,RPS4Y1,SAGD_00138,Human,0.0530223074169492,171.8854761396,Y,11.77,5.445e-69
ENSG00000129824,RPS4Y1,SAGD_00062,Human,0.177456123986838,68.9426069779061,Y,8.6305,0.0
ENSG00000260197,AC010889.1,SAGD_00075,Human,0.0348838778998543,0.598763196487538,Y,4.7004,5.0565e-15
ENSG00000114374,USP9Y,SAGD_00065,Human,0.0123076477642398,2.4662314146522,Y,7.8982,1.7188e-195
ENSG00000137103,TMEM8B,SAGD_00137,Human,0.23794008460768,0.992204585321835,9,2.1089,0.0043057
ENSG00000129824,RPS4Y1,SAGD_00045,Human,0.179231560369686,88.0215524486102,Y,8.921,0.0
ENSG00000067048,DDX3Y,SAGD_00001,Human,0.0195303522229788,4.21738464995731,Y,7.9134,2.0902e-15
ENSG00000165246,NLGN4Y,SAGD_00042,Human,0.00891521801626433,2.33040808350132,Y,8.0342,2.1698e-194
ENSG00000067048,DDX3Y,SAGD_00072,Human,0.0564737335167078,29.6146822774645,Y,9.0841,2.1943e-201
ENSG00000067646,ZFY,SAGD_00108,Human,0.00131922286118976,4.79596637787853,Y,10.484,1.0469e-11
