	model_type	index	variable	value	z_score
2290	real	vae_2	Myocytes_FANTOM_2	-5.687980450689793	-11.915256000799536
1338	real	vae_1_three	Neutrophils_BLUEPRINT_1	-3.4207352995872498	-11.820406154992156
14	real	vae_0_three	Astrocytes_FANTOM_3	-8.605958719737828	-11.727756807512115
1349	real	vae_1_three	Neutrophils_IRIS_3	-5.396611005067825	-11.552811772132577
2272	real	vae_2	Monocytes_BLUEPRINT_2	-3.4614783376455307	-11.53630841396029
1963	real	vae_2	Adipocytes_HPCA_2	-1.7173929382115602	-11.501788534426014
1700	real	vae_1_two	Keratinocytes_HPCA_3	-7.040458891540766	-11.458449414583567
232	real	vae_0_three	Keratinocytes_HPCA_2	-4.013261001789942	-11.419062636830564
1294	real	vae_1_three	Monocytes_BLUEPRINT_2	-4.446236930787563	-11.165807365916672
722	real	vae_0_two	Keratinocytes_HPCA_3	-9.53181929513812	-10.7577102577705
2419	real	vae_2	mv-Endothelial-cells_FANTOM_2	-4.197493385989219	-10.693875067871453
1694	real	vae_1_two	Keratinocytes_ENCODE_3	-1.51900415122509	-10.532783013708567
1696	real	vae_1_two	Keratinocytes_FANTOM_2	-9.925953076221049	-10.412079047315448
2222	real	vae_2	Macrophages-M1_FANTOM_3	-6.879893724806607	-10.334976830495211
2322	real	vae_2	Neutrophils_HPCA_1	-3.213842198252678	-10.279179926308473
1229	real	vae_1_three	MPP_FANTOM_3	-6.1465854132547975	-10.225198089029188
1339	real	vae_1_three	Neutrophils_BLUEPRINT_2	-2.7394219636917114	-10.14499615692632
1227	real	vae_1_three	MPP_FANTOM_1	-9.505863902159035	-9.989698304513064
1198	real	vae_1_three	Hepatocytes_FANTOM_2	-22.63455501315184	-9.939420998615844
1337	real	vae_1_three	Neurons_FANTOM_3	-16.46519890683703	-9.742189099268073
1823	real	vae_1_two	Neurons_ENCODE_3	-10.852746000207844	-9.726682735111222
2317	real	vae_2	Neutrophils_BLUEPRINT_2	-1.8057649284601212	-9.660937077163029
2275	real	vae_2	Monocytes_FANTOM_2	-17.74658454139717	-9.574760687120085
661	real	vae_0_two	Epithelial-cells_ENCODE_2	-2.9956616051495075	-9.497075497766847
1302	real	vae_1_three	Monocytes_IRIS_1	-4.115218070102856	-9.476248109933502
2276	real	vae_2	Monocytes_FANTOM_3	-15.529073367128149	-9.342946336014775
668	real	vae_0_two	Epithelial-cells_HPCA_3	-2.384251967072487	-9.289399189459811
1970	real	vae_2	Astrocytes_FANTOM_3	-14.692199032288045	-9.268258646507347
1822	real	vae_1_two	Neurons_ENCODE_2	-10.812008041582885	-9.12502254392027
1834	real	vae_1_two	Neutrophils_HPCA_2	-1.4669375643134117	-9.066860534391795
892	real	vae_0_two	Sebocytes_FANTOM_2	-4.8809554278850555	-9.018766351018076
1968	real	vae_2	Astrocytes_FANTOM_1	-17.20388176990673	-8.949132470169832
1492	real	vae_1_two	Basophils_FANTOM_2	-9.050795253482647	-8.755146119552089
2283	real	vae_2	Monocytes_NOVERSHTERN_1	-13.31180426501669	-8.726883017416604
464	real	vae_0_three	mv-Endothelial-cells_FANTOM_3	-6.484966238960624	-8.725897441864165
1646	real	vae_1_two	Epithelial-cells_HPCA_3	-1.7661812528967857	-8.596585027143089
664	real	vae_0_two	Epithelial-cells_FANTOM_2	-6.398005999624729	-8.563652095783345
1871	real	vae_1_two	Sebocytes_FANTOM_3	-4.841568287461996	-8.531909350586195
720	real	vae_0_two	Keratinocytes_HPCA_1	-3.6438655257225037	-8.429942931295244
1295	real	vae_1_three	Monocytes_BLUEPRINT_3	-4.323921125382185	-8.4129234322488
1699	real	vae_1_two	Keratinocytes_HPCA_2	-6.774014247581363	-8.335801594540179
1698	real	vae_1_two	Keratinocytes_HPCA_1	-2.553773533552885	-8.2947048324855
2327	real	vae_2	Neutrophils_IRIS_3	-3.454945587553084	-8.288941545476671
2325	real	vae_2	Neutrophils_IRIS_1	-1.8798729479312897	-8.089218983938318
667	real	vae_0_two	Epithelial-cells_HPCA_2	-1.2763574793934822	-8.041707656384453
51	real	vae_0_three	CD4+-Tem_HPCA_1	-5.357656084699556	-7.909987979732612
666	real	vae_0_two	Epithelial-cells_HPCA_1	-1.5471393465995789	-7.86601414672025
2273	real	vae_2	Monocytes_BLUEPRINT_3	-3.420367017388344	-7.839056672351289
1794	real	vae_1_two	Monocytes_NOVERSHTERN_1	-2.748590746137779	-7.8300062757095095
1202	real	vae_1_three	Hepatocytes_HPCA_3	-15.421105925925076	-7.753045151574171
503	real	vae_0_two	Astrocytes_FANTOM_3	-8.65118597401306	-7.748241916538235
2274	real	vae_2	Monocytes_FANTOM_1	-9.933526468928903	-7.648483379163763
195	real	vae_0_three	Fibroblasts_FANTOM_1	-6.665475915186107	-7.613711261880704
1002	real	vae_1_three	Basophils_FANTOM_1	-3.9514168766327202	-7.5962819723021004
1005	real	vae_1_three	Basophils_NOVERSHTERN_1	-7.325137139298022	-7.583028500617162
662	real	vae_0_two	Epithelial-cells_ENCODE_3	-9.578370666131377	-7.525433177351965
1340	real	vae_1_three	Neutrophils_BLUEPRINT_3	-3.2985758185386658	-7.380451456268052
414	real	vae_0_three	Smooth-muscle_FANTOM_1	-9.66552063729614	-7.128520332765516
716	real	vae_0_two	Keratinocytes_ENCODE_3	-1.9578496366739275	-7.089629959465256
1869	real	vae_1_two	Sebocytes_FANTOM_1	-4.317948680371046	-7.0837944297006015
1296	real	vae_1_three	Monocytes_FANTOM_1	-12.294920546002686	-7.042304471998244
2153	real	vae_2	Fibroblasts_FANTOM_3	-4.0184947941452265	-7.007949792093062
1042	real	vae_1_three	CD4+-naive-T-cells_FANTOM_2	-4.802376055391505	-6.940217894484249
1956	real	vae_2	Adipocytes_ENCODE_1	-1.7173929382115602	-6.929881929876634
1003	real	vae_1_three	Basophils_FANTOM_2	-11.324273318983614	-6.925464438056296
891	real	vae_0_two	Sebocytes_FANTOM_1	-6.089614771306515	-6.857431639471855
126	real	vae_0_three	Chondrocytes_FANTOM_1	-10.339908650727011	-6.751547114692744
398	real	vae_0_three	Preadipocytes_ENCODE_3	-7.640995509922504	-6.744374643797969
665	real	vae_0_two	Epithelial-cells_FANTOM_3	-3.5183668807148933	-6.730219284125198
1831	real	vae_1_two	Neutrophils_FANTOM_2	-1.3505739023676142	-6.719987517867345
2268	real	vae_2	Mesangial-cells_FANTOM_1	-8.41016340162605	-6.713153403038784
2320	real	vae_2	Neutrophils_FANTOM_2	-4.746768769808114	-6.709626259095055
459	real	vae_0_three	mv-Endothelial-cells_ENCODE_1	-8.188388035283424	-6.682274160666016
1959	real	vae_2	Adipocytes_FANTOM_1	-1.3858776725828648	-6.6666469854988355
1971	real	vae_2	B-cells_FANTOM_1	-1.3875057138502598	-6.617323935225453
893	real	vae_0_two	Sebocytes_FANTOM_3	-6.747904054820538	-6.612868232717469
357	real	vae_0_three	Neurons_FANTOM_1	-4.981024547247216	-6.56635870047614
2326	real	vae_2	Neutrophils_IRIS_2	-3.11542368773371	-6.538444966844939
59	real	vae_0_three	CD4+-memory-T-cells_FANTOM_3	-7.13537719566375	-6.517896814696429
1838	real	vae_1_two	Neutrophils_IRIS_3	-1.884269129484892	-6.349525328609458
1835	real	vae_1_two	Neutrophils_HPCA_3	-1.9464447051286697	-6.288535489745181
502	real	vae_0_two	Astrocytes_FANTOM_2	-5.5312262093648314	-6.265686638254156
1833	real	vae_1_two	Neutrophils_HPCA_1	-1.5851854085922241	-6.217729881072532
1960	real	vae_2	Adipocytes_FANTOM_2	-1.3858776725828648	-6.193023592439797
2435	real	vae_2	pDC_FANTOM_3	-1.2197467028163373	-6.178367519166092
230	real	vae_0_three	Keratinocytes_FANTOM_3	-5.611405068309978	-6.174930077896891
1717	real	vae_1_two	MPP_FANTOM_2	-4.999983189627528	-6.140475789023107
1200	real	vae_1_three	Hepatocytes_HPCA_1	-15.516968820244074	-6.1366845857139785
2285	real	vae_2	Monocytes_NOVERSHTERN_3	-2.4820873886346817	-6.1318411999565745
2207	real	vae_2	MPP_FANTOM_3	-3.602312852628529	-6.062758260108394
2084	real	vae_2	Chondrocytes_FANTOM_3	-5.832369000243489	-6.027719216118438
1836	real	vae_1_two	Neutrophils_IRIS_1	-0.9062181860208511	-5.954341310982888
1298	real	vae_1_three	Monocytes_FANTOM_3	-15.915498851099983	-5.9543209274964815
1547	real	vae_1_two	CD8+-T-cells_FANTOM_3	-1.061123519204557	-5.832780280168037
1303	real	vae_1_three	Monocytes_IRIS_2	-2.966032698750496	-5.723890611698178
1297	real	vae_1_three	Monocytes_FANTOM_2	-17.739201779244468	-5.722297568584874
1300	real	vae_1_three	Monocytes_HPCA_2	-2.7658270709216595	-5.719064312648119
1774	real	vae_1_two	Memory-B-cells_IRIS_2	-0.3371204100549221	-5.667244109376475
1336	real	vae_1_three	Neurons_FANTOM_2	-17.972699758363888	-5.646756544512462
1983	real	vae_2	Basophils_NOVERSHTERN_1	-5.0860898699611425	-5.628621817077816
2284	real	vae_2	Monocytes_NOVERSHTERN_2	-2.5356460213661194	-5.59668753084513
1307	real	vae_1_three	Monocytes_NOVERSHTERN_3	-3.1665413230657578	-5.587536954638711
684	real	vae_0_two	Fibroblasts_FANTOM_1	-7.009936698945239	-5.575920284785593
2282	real	vae_2	Monocytes_IRIS_3	-4.959609863348305	-5.517463876993914
2280	real	vae_2	Monocytes_IRIS_1	-3.346470445394516	-5.5154389831874315
1201	real	vae_1_three	Hepatocytes_HPCA_2	-15.949570988770574	-5.477515569487116
2289	real	vae_2	Myocytes_FANTOM_1	-3.254042372107506	-5.464419311314663
12	real	vae_0_three	Astrocytes_FANTOM_1	-10.582591339945793	-5.459226278213204
578	real	vae_0_two	CD8+-T-cells_NOVERSHTERN_3	-2.4423485225997865	-5.442895730334512
2177	real	vae_2	Hepatocytes_FANTOM_3	-10.256024418980815	-5.441302340428122
2206	real	vae_2	MPP_FANTOM_2	-5.682771273888648	-5.293192228106856
1690	real	vae_1_two	Hepatocytes_HPCA_2	-7.546449603047222	-5.272426972623912
1767	real	vae_1_two	Memory-B-cells_BLUEPRINT_1	-4.734223669394851	-5.261786135196571
931	real	vae_0_two	aDC_IRIS_2	-7.836860852767131	-5.227157628830443
2107	real	vae_2	Endothelial-cells_BLUEPRINT_2	-0.7459189370274544	-5.199546000915618
1335	real	vae_1_three	Neurons_FANTOM_1	-12.297538379905745	-5.183942613012776
1299	real	vae_1_three	Monocytes_HPCA_1	-2.2977527515031397	-5.127228737450187
416	real	vae_0_three	Smooth-muscle_FANTOM_3	-3.2653460949659348	-5.065854241655226
1958	real	vae_2	Adipocytes_ENCODE_3	-1.6384003143757582	-4.885533770675256
332	real	vae_0_three	Myocytes_ENCODE_3	-7.778876917436719	-4.882228014126192
89	real	vae_0_three	CD8+-T-cells_NOVERSHTERN_3	-2.4871505349874496	-4.881015589279172
1692	real	vae_1_two	Keratinocytes_ENCODE_1	-4.280136924237013	-4.874970393837182
391	real	vae_0_three	Plasma-cells_IRIS_2	-1.6857174560427666	-4.836213091108223
1342	real	vae_1_three	Neutrophils_FANTOM_2	-5.29502155983937	-4.818711604602811
501	real	vae_0_two	Astrocytes_FANTOM_1	-10.750370486173779	-4.805533986296114
1348	real	vae_1_three	Neutrophils_IRIS_2	-4.688175901770592	-4.802108185680001
2271	real	vae_2	Monocytes_BLUEPRINT_1	-1.622629091143608	-4.745319084180169
2270	real	vae_2	Mesangial-cells_FANTOM_3	-9.724543123040348	-4.7435510934943625
548	real	vae_0_two	CD4+-memory-T-cells_FANTOM_3	-7.231343077495694	-4.729735256229218
460	real	vae_0_three	mv-Endothelial-cells_ENCODE_2	-8.919650709372945	-4.583889727482936
1316	real	vae_1_three	NK-cells_BLUEPRINT_3	-2.2111298870295286	-4.555710898075484
1828	real	vae_1_two	Neutrophils_BLUEPRINT_2	-0.9436928369104862	-4.513038264642322
1640	real	vae_1_two	Epithelial-cells_ENCODE_3	-4.2131818069610745	-4.467563888169123
206	real	vae_0_three	GMP_HPCA_3	-5.84220502898097	-4.451129777300394
127	real	vae_0_three	Chondrocytes_FANTOM_2	-5.828560899943113	-4.443773389029967
200	real	vae_0_three	Fibroblasts_HPCA_3	-6.665475915186107	-4.432306031803753
257	real	vae_0_three	MSC_FANTOM_3	-0.6851330865174532	-4.431399640554274
2115	real	vae_2	Endothelial-cells_HPCA_1	-1.227279119193554	-4.418251333927482
1478	real	vae_1_two	Astrocytes_ENCODE_3	-1.1538300104439259	-4.41444277499288
1165	real	vae_1_three	Erythrocytes_HPCA_2	-1.2848610607907176	-4.414216777701677
1332	real	vae_1_three	Neurons_ENCODE_1	-2.128328651189804	-4.382233085351166
1769	real	vae_1_two	Memory-B-cells_BLUEPRINT_3	-2.13215128518641	-4.3582078502089665
1079	real	vae_1_three	CD8+-Tem_BLUEPRINT_3	-6.392167477402836	-4.354168106601625
887	real	vae_0_two	Preadipocytes_ENCODE_3	-7.817018271191046	-4.334109469325684
225	real	vae_0_three	Keratinocytes_ENCODE_1	-1.7756000275257975	-4.300522483521298
2278	real	vae_2	Monocytes_HPCA_2	-2.1898958729580045	-4.252697895728016
1450	real	vae_1_three	naive-B-cells_HPCA_2	-2.021879380568862	-4.252014580299245
1304	real	vae_1_three	Monocytes_IRIS_3	-5.432718337280676	-4.247153621411816
663	real	vae_0_two	Epithelial-cells_FANTOM_1	-2.4095603749156	-4.2062737193498325
1693	real	vae_1_two	Keratinocytes_ENCODE_2	-2.671876348555088	-4.1977239001291675
647	real	vae_0_two	Endothelial-cells_FANTOM_3	-2.1601327499374747	-4.195088022745666
299	real	vae_0_three	Melanocytes_FANTOM_3	-6.535856576927472	-4.164282829481509
1642	real	vae_1_two	Epithelial-cells_FANTOM_2	-3.192290303297341	-4.101716536103683
1788	real	vae_1_two	Monocytes_HPCA_1	-0.45180086605250835	-4.082143054339411
228	real	vae_0_three	Keratinocytes_FANTOM_1	-7.330666253110394	-4.075933004393158
260	real	vae_0_three	MSC_HPCA_3	-4.8768079417641275	-4.063341875966588
2180	real	vae_2	Hepatocytes_HPCA_3	-7.460098353243666	-4.036006968755178
1494	real	vae_1_two	Basophils_NOVERSHTERN_1	-1.7699194652959704	-4.032639549037677
2409	real	vae_2	ly-Endothelial-cells_FANTOM_1	-0.6335846036672592	-4.012637915556464
634	real	vae_0_two	DC_HPCA_2	-0.9225282222032547	-4.01253313659561
506	real	vae_0_two	B-cells_FANTOM_3	-1.2385449577122927	-4.01192181437225
1343	real	vae_1_three	Neutrophils_FANTOM_3	-4.106782986666076	-3.991132498468627
1293	real	vae_1_three	Monocytes_BLUEPRINT_1	-2.2447191923856735	-3.939315983265532
504	real	vae_0_two	B-cells_FANTOM_1	-1.2385449577122927	-3.9139405897209905
1644	real	vae_1_two	Epithelial-cells_HPCA_1	-1.1854872480034828	-3.8856574988359096
1301	real	vae_1_three	Monocytes_HPCA_3	-7.933951848768629	-3.8642532254523405
660	real	vae_0_two	Epithelial-cells_ENCODE_1	-1.3882705569267273	-3.8616689861951805
1961	real	vae_2	Adipocytes_FANTOM_3	-1.4706151075661182	-3.84348145862957
953	real	vae_0_two	mv-Endothelial-cells_FANTOM_3	-6.5705655538477	-3.841094363905655
2318	real	vae_2	Neutrophils_BLUEPRINT_3	-2.211650624871254	-3.828468148860551
1691	real	vae_1_two	Hepatocytes_HPCA_3	-7.105006738449447	-3.824147030718689
125	real	vae_0_three	Chondrocytes_ENCODE_3	-2.7938871793448925	-3.8078291685543464
1219	real	vae_1_three	MEP_NOVERSHTERN_2	-0.42165543138980865	-3.7824728139672215
159	real	vae_0_three	Endothelial-cells_HPCA_1	-0.5842246972024441	-3.762904755837565
2414	real	vae_2	ly-Endothelial-cells_HPCA_3	-1.3474780693650246	-3.7005564294899562
1957	real	vae_2	Adipocytes_ENCODE_2	-1.793971674516797	-3.7003356760340664
380	real	vae_0_three	Pericytes_ENCODE_3	-4.818456566776149	-3.697282209152689
579	real	vae_0_two	CD8+-Tcm_BLUEPRINT_1	-0.6874372065067291	-3.653370946127146
461	real	vae_0_three	mv-Endothelial-cells_ENCODE_3	-6.624858584837057	-3.6349498983773403
1546	real	vae_1_two	CD8+-T-cells_FANTOM_2	-0.6695172432810068	-3.625066909776671
1964	real	vae_2	Adipocytes_HPCA_3	-1.8569928538054228	-3.6148678501820433
1718	real	vae_1_two	MPP_FANTOM_3	-2.7716168239712715	-3.610716004764092
1306	real	vae_1_three	Monocytes_NOVERSHTERN_2	-3.207880713045597	-3.5917247990222454
172	real	vae_0_three	Epithelial-cells_ENCODE_2	-1.1947887735441327	-3.588984665434822
233	real	vae_0_three	Keratinocytes_HPCA_3	-3.72444935538806	-3.5798958992801424
1870	real	vae_1_two	Sebocytes_FANTOM_2	-3.6040398217737675	-3.5705679746644554
1587	real	vae_1_two	CMP_NOVERSHTERN_1	-0.38067892473191023	-3.5535036492308985
1509	real	vae_1_two	CD4+-Tcm_HPCA_1	-0.951522427611053	-3.5276263512905466
2228	real	vae_2	Macrophages-M2_HPCA_3	-1.0471007227897644	-3.5244324572758345
419	real	vae_0_three	Smooth-muscle_HPCA_3	-6.646781996067148	-3.5046991939080785
2412	real	vae_2	ly-Endothelial-cells_HPCA_1	-1.0420164093375206	-3.4966199115316714
57	real	vae_0_three	CD4+-memory-T-cells_FANTOM_1	-9.87347095622681	-3.492960257493641
412	real	vae_0_three	Smooth-muscle_ENCODE_2	-1.3743145791813731	-3.475695353845994
173	real	vae_0_three	Epithelial-cells_ENCODE_3	-4.663651518523693	-3.426371087076747
2423	real	vae_2	mv-Endothelial-cells_HPCA_3	-1.4588577076792717	-3.423740954026292
1639	real	vae_1_two	Epithelial-cells_ENCODE_2	-1.7675528824329376	-3.4235626525508205
1689	real	vae_1_two	Hepatocytes_HPCA_1	-6.72082573256921	-3.4207177455665003
948	real	vae_0_two	mv-Endothelial-cells_ENCODE_1	-8.493067445466295	-3.394723060003732
1162	real	vae_1_three	Erythrocytes_FANTOM_2	-1.8575392216444016	-3.3679957052274503
633	real	vae_0_two	DC_HPCA_1	-0.9225282222032547	-3.3536888479840665
749	real	vae_0_two	MSC_HPCA_3	-4.754122405080125	-3.3196483382618354
1075	real	vae_1_three	CD8+-Tcm_NOVERSHTERN_2	-1.9624023027718067	-3.3188366789614796
615	real	vae_0_two	Chondrocytes_FANTOM_1	-9.543303362675942	-3.2866063185873906
356	real	vae_0_three	Neurons_ENCODE_3	-4.433851220179349	-3.282321869439178
648	real	vae_0_two	Endothelial-cells_HPCA_1	-0.7409231141209602	-3.281819593073889
259	real	vae_0_three	MSC_HPCA_2	-1.4267987739294767	-3.2642032606262457
745	real	vae_0_two	MSC_FANTOM_2	-0.5889264792203903	-3.262656658195782
1687	real	vae_1_two	Hepatocytes_FANTOM_2	-9.340263922698796	-3.2611563577059544
2106	real	vae_2	Endothelial-cells_BLUEPRINT_1	-0.7459189370274544	-3.2279698007067936
981	real	vae_1_three	Adipocytes_FANTOM_1	-0.936003103852272	-3.225348970767996
645	real	vae_0_two	Endothelial-cells_FANTOM_1	-0.6085103116929531	-3.222357138459002
574	real	vae_0_two	CD8+-T-cells_IRIS_2	-0.7911560758948326	-3.2174018598801895
1285	real	vae_1_three	Memory-B-cells_IRIS_2	-1.5339275635778904	-3.205439379403886
1686	real	vae_1_two	Hepatocytes_FANTOM_1	-8.206881213816814	-3.191365139092812
2205	real	vae_2	MPP_FANTOM_1	-4.766214140690863	-3.183371306878225
576	real	vae_0_two	CD8+-T-cells_NOVERSHTERN_1	-2.0253531648777425	-3.163820000713711
1962	real	vae_2	Adipocytes_HPCA_1	-1.793971674516797	-3.1632573830285837
87	real	vae_0_three	CD8+-T-cells_NOVERSHTERN_1	-2.1207610964775085	-3.1459469262205597
2148	real	vae_2	Fibroblasts_ENCODE_1	-6.985236832872033	-3.132934515042434
2057	real	vae_2	CD8+-Tem_BLUEPRINT_3	-4.688595054671168	-3.116595493217044
2227	real	vae_2	Macrophages-M2_HPCA_2	-1.2647304646670818	-3.100876337789925
152	real	vae_0_three	Endothelial-cells_BLUEPRINT_3	-7.163964641978964	-3.1001382645346776
632	real	vae_0_two	DC_FANTOM_3	-1.6489102113991976	-3.0828150021881275
2100	real	vae_2	DC_HPCA_1	-0.8314416483044624	-3.079282702524098
1980	real	vae_2	Basophils_FANTOM_1	-2.8314181122696027	-3.0523463326908242
379	real	vae_0_three	Pericytes_ENCODE_2	-4.913796425040346	-3.0514379767472075
1638	real	vae_1_two	Epithelial-cells_ENCODE_1	-1.2167897522449493	-3.0499891934526917
2150	real	vae_2	Fibroblasts_ENCODE_3	-3.159790809266269	-3.0445366289548668
2291	real	vae_2	Myocytes_FANTOM_3	-1.3938864096999168	-3.0432287576418062
1785	real	vae_1_two	Monocytes_FANTOM_1	-2.819106842041947	-3.038615999808387
377	real	vae_0_three	Osteoblast_HPCA_3	-3.235206709243357	-3.0070195698097653
255	real	vae_0_three	MSC_FANTOM_1	-0.3389242496341467	-3.0038118208888873
1333	real	vae_1_three	Neurons_ENCODE_2	-8.869781885528937	-2.991730088416452
2321	real	vae_2	Neutrophils_FANTOM_3	-3.344214366748929	-2.980608342806369
2281	real	vae_2	Monocytes_IRIS_2	-2.1468987315893173	-2.9685156868613576
927	real	vae_0_two	aDC_HPCA_1	-0.8229628428816795	-2.9361105249853083
616	real	vae_0_two	Chondrocytes_FANTOM_2	-5.228471006266773	-2.92719205521506
1334	real	vae_1_three	Neurons_ENCODE_3	-7.053507226519287	-2.9230332768676592
1283	real	vae_1_three	Memory-B-cells_HPCA_3	-1.4252733290195465	-2.9131183670309713
1052	real	vae_1_three	CD4+-naive-T-cells_NOVERSHTERN_3	-1.743287805467844	-2.9071518077617524
540	real	vae_0_two	CD4+-Tem_HPCA_1	-6.042553038336337	-2.8970506859847394
724	real	vae_0_two	MEP_BLUEPRINT_2	-0.7021379237994552	-2.890943273523795
1565	real	vae_1_two	CD8+-Tcm_NOVERSHTERN_3	-0.7447015978395939	-2.8747524878599386
949	real	vae_0_two	mv-Endothelial-cells_ENCODE_2	-9.435060504125431	-2.8471629494962114
1722	real	vae_1_two	MSC_FANTOM_1	-0.4721793904900551	-2.8347218902939044
90	real	vae_0_three	CD8+-Tcm_BLUEPRINT_1	-0.6418450213968754	-2.8202582397574276
359	real	vae_0_three	Neurons_FANTOM_3	-7.813065785216168	-2.8182653219605682
227	real	vae_0_three	Keratinocytes_ENCODE_3	-0.6218426171690226	-2.813851890355195
314	real	vae_0_three	Mesangial-cells_FANTOM_3	-7.912612601881847	-2.800171418175292
903	real	vae_0_two	Smooth-muscle_FANTOM_1	-9.129205526900478	-2.796778636715681
1950	real	vae_1_two	pro-B-cells_HPCA_1	-1.7561803860589862	-2.7888689054074
575	real	vae_0_two	CD8+-T-cells_IRIS_3	-1.0770164877176285	-2.7776041683117625
1953	real	vae_1_two	pro-B-cells_NOVERSHTERN_1	-1.3658260214142501	-2.7717498819192055
199	real	vae_0_three	Fibroblasts_HPCA_2	-3.290298495441675	-2.7531018550739996
929	real	vae_0_two	aDC_HPCA_3	-0.9798253700137138	-2.752329395394188
695	real	vae_0_two	GMP_HPCA_3	-5.870887065306306	-2.735452152981157
940	real	vae_0_two	iDC_HPCA_2	-0.6148006469011307	-2.7299934929110394
84	real	vae_0_three	CD8+-T-cells_IRIS_1	-0.5473232232034206	-2.7293597892142607
982	real	vae_1_three	Adipocytes_FANTOM_2	-0.936003103852272	-2.72854439837754
1581	real	vae_1_two	CMP_BLUEPRINT_1	-0.7524731624871492	-2.725787762568597
2221	real	vae_2	Macrophages-M1_FANTOM_2	-5.883615463972092	-2.7197122147529327
1092	real	vae_1_three	CMP_BLUEPRINT_1	-1.3450370477512479	-2.713970618831357
15	real	vae_0_three	B-cells_FANTOM_1	-0.7570858374238014	-2.7079538885644743
638	real	vae_0_two	DC_IRIS_3	-0.996633730828762	-2.694776237718296
509	real	vae_0_two	B-cells_HPCA_3	-0.41633135080337524	-2.6882375939634877
2394	real	vae_2	aDC_HPCA_1	-0.7099553123116493	-2.6838706345461323
231	real	vae_0_three	Keratinocytes_HPCA_1	-1.3872951939702034	-2.6636603454250296
2319	real	vae_2	Neutrophils_FANTOM_1	-3.730716632679105	-2.657313032079119
1163	real	vae_1_three	Erythrocytes_FANTOM_3	-1.8575392216444016	-2.641828482540021
641	real	vae_0_two	Endothelial-cells_BLUEPRINT_3	-7.457648018375039	-2.6348068366810486
2111	real	vae_2	Endothelial-cells_ENCODE_3	-1.8577380331698805	-2.6316023045605212
