algorithm	seed	model_type	geneset_coverage	level_3	abs_top_z_score	dataset	z_dim	geneset_name
ica	165158	real	0.3	115	29.8675	tcga	14	gph
ica	451283	real	0.3	116	29.1251	tcga	14	gph
ica	486191	real	0.3	127	29.9569	tcga	14	gph
ica	908341	real	0.34	88	25.9565	tcga	14	gph
ica	978124	real	0.3	99	29.8275	tcga	14	gph
nmf	165158	real	0.26	140	32.7607	tcga	14	gph
nmf	451283	real	0.26	141	32.8358	tcga	14	gph
nmf	486191	real	0.26	142	32.7635	tcga	14	gph
nmf	908341	real	0.26	143	32.7608	tcga	14	gph
nmf	978124	real	0.26	144	32.764	tcga	14	gph
pca	165158	real	0.28	210	19.6918	tcga	14	gph
pca	451283	real	0.28	211	19.6918	tcga	14	gph
pca	486191	real	0.28	212	19.6918	tcga	14	gph
pca	908341	real	0.28	213	19.6918	tcga	14	gph
pca	978124	real	0.28	214	19.6918	tcga	14	gph
vae	165158	real	0.32	290	15.9037	tcga	14	gph
vae	451283	real	0.3	301	19.4155	tcga	14	gph
vae	486191	real	0.34	307	17.9679	tcga	14	gph
vae	908341	real	0.34	283	20.336	tcga	14	gph
vae	978124	real	0.32	339	21.5269	tcga	14	gph
dae	165158	real	0.54	345	17.7391	tcga	70	gph
dae	451283	real	0.6	286	36.2683	tcga	70	gph
dae	486191	real	0.6	162	16.6671	tcga	70	gph
dae	908341	real	0.6	223	35.7302	tcga	70	gph
dae	978124	real	0.6	24	16.6977	tcga	70	gph
ica	165158	real	0.68	615	36.6841	tcga	70	gph
ica	451283	real	0.7	451	36.7591	tcga	70	gph
ica	486191	real	0.72	692	36.9618	tcga	70	gph
ica	908341	real	0.72	433	37.2793	tcga	70	gph
ica	978124	real	0.7	649	36.4004	tcga	70	gph
nmf	165158	real	0.68	820	32.3952	tcga	70	gph
nmf	451283	real	0.66	821	33.3072	tcga	70	gph
nmf	486191	real	0.68	762	34.0362	tcga	70	gph
nmf	908341	real	0.62	823	33.3373	tcga	70	gph
nmf	978124	real	0.62	824	33.8228	tcga	70	gph
pca	165158	real	0.66	1165	22.8743	tcga	70	gph
pca	451283	real	0.7	1166	22.8742	tcga	70	gph
pca	486191	real	0.7	1167	22.8743	tcga	70	gph
pca	908341	real	0.68	1168	22.8742	tcga	70	gph
pca	978124	real	0.66	1169	22.8742	tcga	70	gph
vae	165158	real	0.56	1475	23.136999999999997	tcga	70	gph
vae	451283	real	0.66	1716	28.1008	tcga	70	gph
vae	486191	real	0.6	1422	25.3717	tcga	70	gph
vae	908341	real	0.62	1733	23.073	tcga	70	gph
vae	978124	real	0.62	1524	30.0419	tcga	70	gph
dae	165158	real	0.12	25	15.2322	tcga	6	gph
dae	451283	real	0.14	16	16.5205	tcga	6	gph
dae	486191	real	0.1	7	14.1624	tcga	6	gph
dae	908341	real	0.04	8	14.6574	tcga	6	gph
dae	978124	real	0.08	24	16.6883	tcga	6	gph
ica	165158	real	0.22	35	29.8981	tcga	6	gph
ica	451283	real	0.22	36	29.875999999999998	tcga	6	gph
ica	486191	real	0.22	57	29.0143	tcga	6	gph
ica	908341	real	0.22	43	29.8643	tcga	6	gph
ica	978124	real	0.22	54	30.0105	tcga	6	gph
nmf	165158	real	0.14	60	27.1715	tcga	6	gph
nmf	451283	real	0.14	61	27.1714	tcga	6	gph
nmf	486191	real	0.14	62	27.1717	tcga	6	gph
nmf	908341	real	0.14	63	27.1711	tcga	6	gph
nmf	978124	real	0.14	64	27.1713	tcga	6	gph
pca	165158	real	0.16	90	19.6918	tcga	6	gph
pca	451283	real	0.16	91	19.6918	tcga	6	gph
pca	486191	real	0.16	92	19.6918	tcga	6	gph
pca	908341	real	0.16	93	19.6918	tcga	6	gph
pca	978124	real	0.16	94	19.6918	tcga	6	gph
vae	165158	real	0.18	125	16.1091	tcga	6	gph
vae	451283	real	0.2	126	14.9155	tcga	6	gph
vae	486191	real	0.18	147	15.2547	tcga	6	gph
vae	908341	real	0.16	133	14.4991	tcga	6	gph
vae	978124	real	0.18	144	15.7853	tcga	6	gph
dae	165158	real	0.42	80	17.1634	tcga	50	gph
dae	451283	real	0.48	176	19.4926	tcga	50	gph
dae	486191	real	0.5	242	16.1537	tcga	50	gph
dae	908341	real	0.52	38	25.8457	tcga	50	gph
dae	978124	real	0.42	4	22.5996	tcga	50	gph
ica	165158	real	0.66	495	28.6385	tcga	50	gph
ica	451283	real	0.66	271	24.9705	tcga	50	gph
ica	486191	real	0.7	327	25.7569	tcga	50	gph
ica	908341	real	0.68	283	29.1459	tcga	50	gph
ica	978124	real	0.7	419	25.2707	tcga	50	gph
nmf	165158	real	0.5	615	35.8712	tcga	50	gph
nmf	451283	real	0.54	581	41.0671	tcga	50	gph
nmf	486191	real	0.56	582	41.5567	tcga	50	gph
nmf	908341	real	0.52	648	33.1904	tcga	50	gph
nmf	978124	real	0.54	649	34.1776	tcga	50	gph
pca	165158	real	0.54	865	22.8741	tcga	50	gph
