algorithm	model_type	geneset_coverage	level_2	abs_top_z_score	dataset	z_dim	geneset_name
pca	real	0.07770961145194274	375	23.322	target	25	gpxcell
vae	real	0.1492842535787321	571	33.84	target	25	gpxcell
dae	real	0.5746421267893661	298	33.269	target	200	gpxcell
ica	real	0.6053169734151329	1649	55.2452	target	200	gpxcell
nmf	real	0.24539877300613497	2058	69.8149	target	200	gpxcell
pca	real	0.623721881390593	3000	23.322	target	200	gpxcell
vae	real	0.48261758691206547	4492	38.007	target	200	gpxcell
dae	real	0.03885480572597137	3	29.6451	target	5	gpxcell
ica	real	0.02044989775051125	39	22.1988	target	5	gpxcell
nmf	real	0.014314928425357873	63	19.5284	target	5	gpxcell
pca	real	0.02044989775051125	75	23.322	target	5	gpxcell
vae	real	0.044989775051124746	106	35.5597	target	5	gpxcell
dae	real	0.2331288343558282	134	35.9938	target	50	gpxcell
ica	real	0.2740286298568507	495	57.0582	target	50	gpxcell
nmf	real	0.13701431492842536	661	52.9589	target	50	gpxcell
pca	real	0.1656441717791411	750	23.322	target	50	gpxcell
vae	real	0.2556237218813906	1240	39.9874	target	50	gpxcell
dae	real	0.34355828220858897	256	35.5566	target	90	gpxcell
ica	real	0.4212678936605317	450	55.1146	target	90	gpxcell
nmf	real	0.16768916155419222	1035	49.218999999999994	target	90	gpxcell
pca	real	0.3987730061349693	1350	23.322	target	90	gpxcell
vae	real	0.3619631901840491	1823	29.0942	target	90	gpxcell
dae	real	0.18200408997955012	159	27.4906	target	45	gpxcell
ica	real	0.24539877300613497	377	55.7763	target	45	gpxcell
nmf	real	0.1165644171779141	612	49.4052	target	45	gpxcell
pca	real	0.1554192229038855	675	23.322	target	45	gpxcell
vae	real	0.2392638036809816	983	35.897	target	45	gpxcell
dae	real	0.2556237218813906	195	28.6282	target	60	gpxcell
ica	real	0.3006134969325153	443	55.2023	target	60	gpxcell
nmf	real	0.1492842535787321	762	50.6025	target	60	gpxcell
pca	real	0.24948875255623723	900	23.322	target	60	gpxcell
vae	real	0.30879345603271985	1495	46.1393	target	60	gpxcell
dae	real	0.034764826175869123	12	33.1934	target	6	gpxcell
ica	real	0.034764826175869123	35	20.7566	target	6	gpxcell
nmf	real	0.018404907975460124	72	21.8614	target	6	gpxcell
pca	real	0.024539877300613498	90	23.322	target	6	gpxcell
vae	real	0.04703476482617587	127	32.5019	target	6	gpxcell
dae	real	0.0408997955010225	12	33.0502	target	10	gpxcell
ica	real	0.03680981595092025	77	17.8088	target	10	gpxcell
nmf	real	0.022494887525562373	148	22.7848	target	10	gpxcell
pca	real	0.03885480572597137	150	23.322	target	10	gpxcell
vae	real	0.06748466257668712	214	32.4748	target	10	gpxcell
dae	real	0.09202453987730061	75	26.2984	target	20	gpxcell
ica	real	0.07975460122699386	129	40.7808	target	20	gpxcell
nmf	real	0.044989775051124746	276	32.0083	target	20	gpxcell
pca	real	0.06748466257668712	300	23.322	target	20	gpxcell
vae	real	0.13701431492842536	404	38.5885	target	20	gpxcell
dae	real	0.2719836400817996	48	30.0015	target	70	gpxcell
ica	real	0.35991820040899797	600	51.5312	target	70	gpxcell
nmf	real	0.15337423312883436	836	51.0911	target	70	gpxcell
pca	real	0.35173824130879344	1050	23.322	target	70	gpxcell
vae	real	0.3067484662576687	1570	62.361000000000004	target	70	gpxcell
dae	real	0.014314928425357873	5	20.0995	target	2	gpxcell
ica	real	0.0081799591002045	13	23.6328	target	2	gpxcell
nmf	real	0.0081799591002045	24	17.9646	target	2	gpxcell
pca	real	0.0081799591002045	30	23.322	target	2	gpxcell
vae	real	0.012269938650306749	43	35.8397	target	2	gpxcell
dae	real	0.05521472392638037	40	31.9531	target	12	gpxcell
ica	real	0.053169734151329244	96	30.7297	target	12	gpxcell
nmf	real	0.026584867075664622	178	18.104	target	12	gpxcell
pca	real	0.04703476482617587	180	23.322	target	12	gpxcell
vae	real	0.07770961145194274	248	37.6807	target	12	gpxcell
dae	real	0.026584867075664622	19	29.6964	target	4	gpxcell
ica	real	0.016359918200409	25	26.2128	target	4	gpxcell
nmf	real	0.010224948875255624	54	19.8797	target	4	gpxcell
pca	real	0.016359918200409	60	23.322	target	4	gpxcell
vae	real	0.032719836400818	82	35.1371	target	4	gpxcell
dae	real	0.03885480572597137	32	33.4831	target	8	gpxcell
ica	real	0.032719836400818	51	17.4378	target	8	gpxcell
nmf	real	0.024539877300613498	94	20.4485	target	8	gpxcell
pca	real	0.032719836400818	120	23.322	target	8	gpxcell
vae	real	0.065439672801636	171	31.4366	target	8	gpxcell
dae	real	0.3537832310838446	147	31.2387	target	100	gpxcell
ica	real	0.47648261758691207	510	68.1662	target	100	gpxcell
nmf	real	0.18404907975460122	1495	50.5841	target	100	gpxcell
pca	real	0.4396728016359918	1500	23.322	target	100	gpxcell
vae	real	0.3558282208588957	2253	50.5714	target	100	gpxcell
