algorithm	model_type	geneset_coverage	level_2	abs_top_z_score	dataset	z_dim	geneset_name
dae	real	0.3	17	19.4126	tcga	10	gph
ica	real	0.32	87	25.8369	tcga	10	gph
nmf	real	0.2	101	29.5493	tcga	10	gph
pca	real	0.2	154	19.6918	tcga	10	gph
vae	real	0.46	235	18.1232	tcga	10	gph
dae	real	0.42	13	27.9085	tcga	14	gph
ica	real	0.36	127	29.9569	tcga	14	gph
nmf	real	0.26	141	32.8358	tcga	14	gph
pca	real	0.28	214	19.6918	tcga	14	gph
vae	real	0.58	339	21.5269	tcga	14	gph
dae	real	0.9	286	36.2683	tcga	70	gph
ica	real	0.82	433	37.2793	tcga	70	gph
nmf	real	0.74	762	34.0362	tcga	70	gph
pca	real	0.76	1167	22.8743	tcga	70	gph
vae	real	0.82	1524	30.0419	tcga	70	gph
dae	real	0.18	24	16.6883	tcga	6	gph
ica	real	0.22	54	30.0105	tcga	6	gph
nmf	real	0.14	62	27.1717	tcga	6	gph
pca	real	0.16	93	19.6918	tcga	6	gph
vae	real	0.3	125	16.1091	tcga	6	gph
dae	real	0.72	38	25.8457	tcga	50	gph
ica	real	0.74	283	29.1459	tcga	50	gph
nmf	real	0.62	582	41.5567	tcga	50	gph
pca	real	0.6	867	22.8746	tcga	50	gph
vae	real	0.76	1241	25.4844	tcga	50	gph
dae	real	0.88	86	26.9674	tcga	125	gph
ica	real	1.0	865	34.0461	tcga	125	gph
nmf	real	0.86	1833	49.4036	tcga	125	gph
pca	real	0.9	1994	22.8742	tcga	125	gph
vae	real	0.86	2757	39.2218	tcga	125	gph
dae	real	0.74	49	23.4778	tcga	45	gph
ica	real	0.74	303	27.035999999999998	tcga	45	gph
nmf	real	0.56	533	37.0949	tcga	45	gph
pca	real	0.56	887	26.5795	tcga	45	gph
vae	real	0.78	1110	29.5384	tcga	45	gph
dae	real	0.22	43	16.6373	tcga	9	gph
ica	real	0.32	77	24.3375	tcga	9	gph
nmf	real	0.18	90	29.0382	tcga	9	gph
pca	real	0.18	138	19.6918	tcga	9	gph
vae	real	0.46	224	22.2308	tcga	9	gph
dae	real	0.76	25	29.93	tcga	80	gph
ica	real	0.86	577	42.2968	tcga	80	gph
nmf	real	0.7	920	34.1136	tcga	80	gph
pca	real	0.78	1319	22.8743	tcga	80	gph
vae	real	0.88	1862	36.7055	tcga	80	gph
dae	real	0.22	30	16.086	tcga	7	gph
ica	real	0.26	54	26.1044	tcga	7	gph
nmf	real	0.16	72	28.0625	tcga	7	gph
pca	real	0.18	109	19.6918	tcga	7	gph
vae	real	0.4	140	24.5372	tcga	7	gph
dae	real	0.7	109	26.7955	tcga	40	gph
ica	real	0.66	389	26.4642	tcga	40	gph
nmf	real	0.52	481	42.5048	tcga	40	gph
pca	real	0.5	717	22.8742	tcga	40	gph
vae	real	0.78	968	27.7596	tcga	40	gph
dae	real	0.08	0	17.938	tcga	4	gph
ica	real	0.18	36	33.9728	tcga	4	gph
nmf	real	0.14	40	25.753	tcga	4	gph
pca	real	0.12	63	19.6918	tcga	4	gph
vae	real	0.18	85	19.033	tcga	4	gph
dae	real	0.38	92	27.5947	tcga	20	gph
ica	real	0.46	132	29.9821	tcga	20	gph
nmf	real	0.34	284	30.0184	tcga	20	gph
pca	real	0.34	304	19.6918	tcga	20	gph
vae	real	0.6	486	21.6057	tcga	20	gph
dae	real	0.94	263	24.905	tcga	90	gph
ica	real	0.94	466	48.4147	tcga	90	gph
nmf	real	0.76	1023	36.0762	tcga	90	gph
pca	real	0.84	1468	22.8742	tcga	90	gph
vae	real	0.88	2033	31.1626	tcga	90	gph
dae	real	0.74	298	31.9488	tcga	60	gph
ica	real	0.8	394	52.3178	tcga	60	gph
nmf	real	0.72	663	35.9365	tcga	60	gph
pca	real	0.72	1015	22.8742	tcga	60	gph
vae	real	0.76	1330	28.249000000000002	tcga	60	gph
dae	real	0.42	11	22.5189	tcga	16	gph
ica	real	0.34	119	31.3784	tcga	16	gph
nmf	real	0.36	162	28.4133	tcga	16	gph
pca	real	0.3	242	19.6918	tcga	16	gph
vae	real	0.56	372	24.1172	tcga	16	gph
dae	real	0.48	63	29.44	tcga	25	gph
ica	real	0.56	229	23.1626	tcga	25	gph
nmf	real	0.46	331	27.3636	tcga	25	gph
pca	real	0.42	494	23.0053	tcga	25	gph
vae	real	0.68	622	22.375999999999998	tcga	25	gph
dae	real	0.98	351	39.2594	tcga	150	gph
ica	real	1.0	1421	26.4786	tcga	150	gph
nmf	real	0.9	1780	45.4571	tcga	150	gph
pca	real	0.9	2365	22.8742	tcga	150	gph
vae	real	0.88	3688	36.1861	tcga	150	gph
