algorithm	seed	model_type	geneset_coverage	level_3	abs_top_z_score	dataset	z_dim	signal	geneset_name
dae	423674	real	0.06349206349206349	65	36.1879	tcga	14	signal	gpc6
dae	508159	real	0.042328042328042326	66	36.2662	tcga	14	signal	gpc6
dae	537458	real	0.07407407407407407	137	48.3168	tcga	14	signal	gpc6
dae	645849	real	0.037037037037037035	88	22.4214	tcga	14	signal	gpc6
dae	884017	real	0.08465608465608465	129	34.2083	tcga	14	signal	gpc6
ica	1334	real	0.12698412698412698	260	28.3711	tcga	14	signal	gpc6
ica	122593	real	0.12698412698412698	151	28.4196	tcga	14	signal	gpc6
ica	361715	real	0.13227513227513227	242	28.4194	tcga	14	signal	gpc6
ica	369373	real	0.13756613756613756	173	28.5077	tcga	14	signal	gpc6
ica	412277	real	0.13756613756613756	274	28.4628	tcga	14	signal	gpc6
ica	423674	real	0.13227513227513227	185	28.428	tcga	14	signal	gpc6
ica	508159	real	0.13756613756613756	196	28.4536	tcga	14	signal	gpc6
ica	537458	real	0.13227513227513227	227	28.455	tcga	14	signal	gpc6
ica	645849	real	0.13756613756613756	258	28.5188	tcga	14	signal	gpc6
ica	884017	real	0.13227513227513227	259	28.3875	tcga	14	signal	gpc6
nmf	1334	real	0.13227513227513227	280	43.3767	tcga	14	signal	gpc6
nmf	122593	real	0.13227513227513227	281	43.3784	tcga	14	signal	gpc6
nmf	361715	real	0.13227513227513227	282	43.3837	tcga	14	signal	gpc6
nmf	369373	real	0.13227513227513227	283	43.3792	tcga	14	signal	gpc6
nmf	412277	real	0.13227513227513227	284	43.6396	tcga	14	signal	gpc6
nmf	423674	real	0.13227513227513227	285	43.3909	tcga	14	signal	gpc6
nmf	508159	real	0.13227513227513227	286	43.3832	tcga	14	signal	gpc6
nmf	537458	real	0.13227513227513227	287	43.3863	tcga	14	signal	gpc6
nmf	645849	real	0.13227513227513227	288	43.3827	tcga	14	signal	gpc6
nmf	884017	real	0.13227513227513227	289	43.3738	tcga	14	signal	gpc6
pca	1334	real	0.12698412698412698	420	31.6713	tcga	14	signal	gpc6
pca	122593	real	0.12698412698412698	421	31.6713	tcga	14	signal	gpc6
pca	361715	real	0.12698412698412698	422	31.6713	tcga	14	signal	gpc6
pca	369373	real	0.12698412698412698	423	31.6713	tcga	14	signal	gpc6
pca	412277	real	0.12698412698412698	424	31.6713	tcga	14	signal	gpc6
pca	423674	real	0.12698412698412698	425	31.6713	tcga	14	signal	gpc6
pca	508159	real	0.12698412698412698	426	31.6713	tcga	14	signal	gpc6
pca	537458	real	0.12698412698412698	427	31.6713	tcga	14	signal	gpc6
pca	645849	real	0.12698412698412698	428	31.6713	tcga	14	signal	gpc6
pca	884017	real	0.12698412698412698	429	31.6713	tcga	14	signal	gpc6
vae	1334	real	0.12698412698412698	690	29.7827	tcga	14	signal	gpc6
vae	122593	real	0.13227513227513227	661	25.6917	tcga	14	signal	gpc6
vae	361715	real	0.12698412698412698	572	34.6294	tcga	14	signal	gpc6
vae	369373	real	0.12169312169312169	693	25.3743	tcga	14	signal	gpc6
vae	412277	real	0.10582010582010581	624	27.2346	tcga	14	signal	gpc6
vae	423674	real	0.1164021164021164	655	18.3008	tcga	14	signal	gpc6
vae	508159	real	0.12169312169312169	626	25.3146	tcga	14	signal	gpc6
vae	537458	real	0.12698412698412698	637	28.8585	tcga	14	signal	gpc6
vae	645849	real	0.1164021164021164	668	20.4875	tcga	14	signal	gpc6
vae	884017	real	0.12698412698412698	649	59.6624	tcga	14	signal	gpc6
dae	112403	real	0.1164021164021164	220	27.6203	tcga	35	signal	gpc6
dae	230388	real	0.14814814814814814	91	44.5577	tcga	35	signal	gpc6
dae	285463	real	0.10582010582010581	82	22.2266	tcga	35	signal	gpc6
dae	390129	real	0.1164021164021164	243	28.2263	tcga	35	signal	gpc6
