algorithm	model_type	geneset_coverage	level_2	abs_top_z_score	dataset	z_dim	geneset_name
vae	real	0.056910569105691054	163	33.5197	tcga	7	gpc3tft
dae	real	0.06341463414634146	52	19.7996	tcga	16	gpc3tft
ica	real	0.06341463414634146	112	22.6964	tcga	16	gpc3tft
nmf	real	0.04065040650406504	192	23.3552	tcga	16	gpc3tft
pca	real	0.05040650406504065	249	18.019000000000002	tcga	16	gpc3tft
vae	real	0.12520325203252033	387	18.4509	tcga	16	gpc3tft
dae	real	0.5886178861788618	159	21.9558	tcga	200	gpc3tft
ica	real	0.6471544715447154	1550	36.7068	tcga	200	gpc3tft
nmf	real	0.5414634146341464	2697	180.855	tcga	200	gpc3tft
pca	real	0.5788617886178862	3005	18.019000000000002	tcga	200	gpc3tft
vae	real	0.5739837398373984	4245	22.2995	tcga	200	gpc3tft
dae	real	0.03577235772357724	59	15.7814	tcga	12	gpc3tft
ica	real	0.04878048780487805	65	16.4841	tcga	12	gpc3tft
nmf	real	0.026016260162601626	150	23.2013	tcga	12	gpc3tft
pca	real	0.03902439024390244	188	18.019000000000002	tcga	12	gpc3tft
vae	real	0.0975609756097561	249	27.3651	tcga	12	gpc3tft
dae	real	0.25040650406504067	176	20.342	tcga	50	gpc3tft
ica	real	0.21138211382113822	386	22.271	tcga	50	gpc3tft
nmf	real	0.17886178861788618	626	39.1159	tcga	50	gpc3tft
pca	real	0.15934959349593497	755	18.019000000000002	tcga	50	gpc3tft
vae	real	0.2764227642276423	1060	18.7764	tcga	50	gpc3tft
dae	real	0.030894308943089432	8	16.8504	tcga	10	gpc3tft
ica	real	0.04878048780487805	97	19.3128	tcga	10	gpc3tft
nmf	real	0.026016260162601626	131	22.3983	tcga	10	gpc3tft
pca	real	0.032520325203252036	155	18.019000000000002	tcga	10	gpc3tft
vae	real	0.07479674796747968	206	17.0799	tcga	10	gpc3tft
dae	real	0.47317073170731705	204	21.1162	tcga	125	gpc3tft
ica	real	0.44878048780487806	638	24.1413	tcga	125	gpc3tft
nmf	real	0.3983739837398374	1374	42.5928	tcga	125	gpc3tft
pca	real	0.3821138211382114	1880	18.019000000000002	tcga	125	gpc3tft
vae	real	0.42601626016260163	2901	22.1568	tcga	125	gpc3tft
dae	real	0.06829268292682927	42	15.7394	tcga	20	gpc3tft
ica	real	0.08617886178861789	110	29.1244	tcga	20	gpc3tft
nmf	real	0.05040650406504065	234	26.1791	tcga	20	gpc3tft
pca	real	0.06666666666666667	306	18.019000000000002	tcga	20	gpc3tft
vae	real	0.15609756097560976	429	19.3425	tcga	20	gpc3tft
dae	real	0.013008130081300813	14	10.2329	tcga	3	gpc3tft
ica	real	0.00975609756097561	19	21.4636	tcga	3	gpc3tft
nmf	real	0.008130081300813009	33	24.5428	tcga	3	gpc3tft
pca	real	0.00975609756097561	54	18.019000000000002	tcga	3	gpc3tft
vae	real	0.014634146341463415	61	17.4738	tcga	3	gpc3tft
