algorithm	model_type	geneset_coverage	level_2	abs_top_z_score	dataset	z_dim	geneset_name
dae	real	0.18404907975460122	211	48.9328	tcga	45	gpxcell
ica	real	0.19427402862985685	408	25.9084	tcga	45	gpxcell
nmf	real	0.11247443762781185	477	43.6715	tcga	45	gpxcell
pca	real	0.1329243353783231	695	24.2366	tcga	45	gpxcell
vae	real	0.19222903885480572	943	50.4369	tcga	45	gpxcell
dae	real	0.04294478527607362	11	48.1706	tcga	10	gpxcell
ica	real	0.04703476482617587	85	61.0278	tcga	10	gpxcell
nmf	real	0.028629856850715747	146	24.8868	tcga	10	gpxcell
pca	real	0.03680981595092025	173	24.2366	tcga	10	gpxcell
vae	real	0.06952965235173825	202	46.9284	tcga	10	gpxcell
dae	real	0.04703476482617587	59	43.5979	tcga	12	gpxcell
ica	real	0.044989775051124746	94	43.833999999999996	tcga	12	gpxcell
nmf	real	0.03680981595092025	166	28.0683	tcga	12	gpxcell
pca	real	0.04294478527607362	201	24.2366	tcga	12	gpxcell
vae	real	0.08997955010224949	257	45.9869	tcga	12	gpxcell
dae	real	0.20040899795501022	6	64.3148	tcga	50	gpxcell
ica	real	0.2085889570552147	284	31.9556	tcga	50	gpxcell
nmf	real	0.14519427402862986	739	48.4248	tcga	50	gpxcell
pca	real	0.1390593047034765	772	24.2366	tcga	50	gpxcell
vae	real	0.2167689161554192	1200	48.0672	tcga	50	gpxcell
dae	real	0.24335378323108384	382	54.2167	tcga	80	gpxcell
ica	real	0.30265848670756645	613	38.8577	tcga	80	gpxcell
nmf	real	0.19222903885480572	964	52.7983	tcga	80	gpxcell
pca	real	0.2229038854805726	1223	24.2366	tcga	80	gpxcell
vae	real	0.28016359918200406	1606	57.6887	tcga	80	gpxcell
dae	real	0.2822085889570552	79	49.6692	tcga	90	gpxcell
ica	real	0.34355828220858897	740	51.9953	tcga	90	gpxcell
nmf	real	0.20040899795501022	948	49.9011	tcga	90	gpxcell
pca	real	0.25153374233128833	1373	24.2366	tcga	90	gpxcell
vae	real	0.2965235173824131	2187	55.8814	tcga	90	gpxcell
dae	real	0.29243353783231085	276	58.652	tcga	100	gpxcell
ica	real	0.39263803680981596	694	49.5235	tcga	100	gpxcell
nmf	real	0.2392638036809816	1164	81.9967	tcga	100	gpxcell
pca	real	0.2883435582822086	1522	24.2366	tcga	100	gpxcell
vae	real	0.2985685071574642	2446	43.8521	tcga	100	gpxcell
dae	real	0.014314928425357873	8	39.0612	tcga	4	gpxcell
ica	real	0.026584867075664622	23	20.8327	tcga	4	gpxcell
nmf	real	0.012269938650306749	50	19.3074	tcga	4	gpxcell
pca	real	0.014314928425357873	66	15.0566	tcga	4	gpxcell
vae	real	0.018404907975460124	94	47.3074	tcga	4	gpxcell
