	loss	val_loss	num_components	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
24	2483.919207629461	2487.0566823374684	125	0.001	50	100	0.5	3860	1	100
25	2482.4136345249453	2482.20200244386	125	0.001	50	100	0.5	3860	1	100
26	2481.652602960361	2481.1347018294596	125	0.001	50	100	0.5	3860	1	100
27	2480.35006541846	2477.769982726131	125	0.001	50	100	0.5	3860	1	100
28	2479.687172090173	2477.9953834111966	125	0.001	50	100	0.5	3860	1	100
29	2478.4058206078994	2482.824856705402	125	0.001	50	100	0.5	3860	1	100
30	2477.5474421452936	2475.667547944802	125	0.001	50	100	0.5	3860	1	100
31	2476.898151720032	2475.255854467651	125	0.001	50	100	0.5	3860	1	100
32	2475.617376648351	2477.0924593671484	125	0.001	50	100	0.5	3860	1	100
33	2475.1067436551234	2473.8415515075376	125	0.001	50	100	0.5	3860	1	100
34	2474.244249274255	2472.456558917635	125	0.001	50	100	0.5	3860	1	100
35	2473.335869318301	2471.8293788277324	125	0.001	50	100	0.5	3860	1	100
36	2473.1252931104545	2474.137743159155	125	0.001	50	100	0.5	3860	1	100
37	2472.043610017685	2472.705578674623	125	0.001	50	100	0.5	3860	1	100
38	2471.8389059927517	2470.98693050212	125	0.001	50	100	0.5	3860	1	100
39	2471.196809336282	2470.711862535333	125	0.001	50	100	0.5	3860	1	100
40	2470.622009788298	2469.1049473441426	125	0.001	50	100	0.5	3860	1	100
41	2469.8002858290197	2470.6142271415674	125	0.001	50	100	0.5	3860	1	100
42	2469.4154833063294	2471.074253101445	125	0.001	50	100	0.5	3860	1	100
43	2469.2608191167315	2468.5213604644314	125	0.001	50	100	0.5	3860	1	100
44	2468.875424132681	2467.5986107294284	125	0.001	50	100	0.5	3860	1	100
45	2468.1757069368527	2467.4792075612436	125	0.001	50	100	0.5	3860	1	100
46	2467.8990772961374	2467.030075916693	125	0.001	50	100	0.5	3860	1	100
47	2467.6318973064795	2465.7552152854114	125	0.001	50	100	0.5	3860	1	100
48	2466.975718594779	2464.7735724521044	125	0.001	50	100	0.5	3860	1	100
49	2466.569147633926	2465.6132959720476	125	0.001	50	100	0.5	3860	1	100
50	2466.4464501969474	2466.069394825691	125	0.001	50	100	0.5	3860	1	100
51	2466.123151545626	2465.9407695214354	125	0.001	50	100	0.5	3860	1	100
52	2466.2941024955703	2465.552833748822	125	0.001	50	100	0.5	3860	1	100
53	2465.4931588030804	2464.219589156721	125	0.001	50	100	0.5	3860	1	100
54	2464.951377346628	2466.2468273987124	125	0.001	50	100	0.5	3860	1	100
55	2465.026180709735	2464.0685900204144	125	0.001	50	100	0.5	3860	1	100
56	2464.829974299151	2464.8299112751256	125	0.001	50	100	0.5	3860	1	100
57	2464.0630073296143	2463.6725657094066	125	0.001	50	100	0.5	3860	1	100
58	2464.5234824366994	2463.777348657349	125	0.001	50	100	0.5	3860	1	100
59	2463.909145187887	2462.7827320194724	125	0.001	50	100	0.5	3860	1	100
60	2463.9280598594987	2463.336326407428	125	0.001	50	100	0.5	3860	1	100
61	2463.58676091256	2465.54477588136	125	0.001	50	100	0.5	3860	1	100
62	2463.5306814921623	2463.361194399733	125	0.001	50	100	0.5	3860	1	100
63	2463.4551593598703	2464.697903580402	125	0.001	50	100	0.5	3860	1	100
64	2463.6352697935126	2463.1076831913474	125	0.001	50	100	0.5	3860	1	100
65	2462.9882322529197	2465.125290760443	125	0.001	50	100	0.5	3860	1	100
66	2462.641742994562	2460.761085701947	125	0.001	50	100	0.5	3860	1	100
67	2462.3448684305763	2461.349360327026	125	0.001	50	100	0.5	3860	1	100
68	2463.0322341382443	2462.1183542222834	125	0.001	50	100	0.5	3860	1	100
69	2462.5166604243987	2461.443900410254	125	0.001	50	100	0.5	3860	1	100
70	2462.3207936960216	2462.8715182357096	125	0.001	50	100	0.5	3860	1	100
71	2462.5260170409556	2461.697189561087	125	0.001	50	100	0.5	3860	1	100
72	2461.8538247317206	2461.710878611809	125	0.001	50	100	0.5	3860	1	100
73	2462.2237719009863	2461.7977399203046	125	0.001	50	100	0.5	3860	1	100
74	2461.828455934675	2461.863325416143	125	0.001	50	100	0.5	3860	1	100
75	2461.9248346634668	2463.7304442132536	125	0.001	50	100	0.5	3860	1	100
76	2462.01933035652	2463.3080490342336	125	0.001	50	100	0.5	3860	1	100
77	2461.7543628657286	2465.2105682219694	125	0.001	50	100	0.5	3860	1	100
